SkillId,,,Rank,Name,OwnerId,,Des,,TipDes,SkillType,,Tags,SkillTypeDes,IsImmediate,BattleStart,IniCd,Cd,ImmediateSkillShowOnly,Energy,UseCondition,MaxLevel,SkillTarget,SkillTargetValue,SkillTargetEffect,SkillTargetEffectShow,LevelSkills,SkillLevelEffectParamRefix,SkillEnergyEffectParamRefix,AutoUseCondition,AutoUsePriority,AutoUseEnergy,AutoSkillTarget,AutoSkillTargetValue,NextSkill,ShowId,Icon
1000,弱点击破技能,,,,0,,,,,4,,,,0,0,0,0,,0,0,0,0,0,"204,200,205,201,206,202,207,203","204,200,205,201,206,202,207,203",0,0,0,,,,,,0,,
99999999,所有属性相关,,,,0,,,,,4,,,,0,0,0,0,,0,0,0,0,0,"90001220,90001320,90001330,90001380,90030120,90030010,90030050,90100030,90040010,90040050,90040120,90010120,90010010,90020120,90020010,90010080,99999877,90010140,90040160,90010141,90040161,90010050,90020050","90001220,90001320,90001330,90001380,90030120,90100030,90040010,90040050,90040120,90010120,90010010,90020120,90020010,90040140",0,0,0,,,,,,0,,
89999999,所有属性相关,,,,0,,,,,4,,,,0,0,0,0,,0,0,0,0,0,89999999,0,0,0,0,,,,,,0,,
79999999,弱破表现,,,,0,,,,,6,,,,0,0,0,0,,0,0,0,0,0,99,99,0,0,0,,,,,,0,100009,
30000001,莉莉娅普攻,莉莉娅,,skillname_30000001,0,普通攻击,skill_des_30000001,"莉莉娅引动秩序力量,发动攻击。",skill_tip_des_30000001,1,,,,0,0,0,0,,0,0,14,1,"1,1,1",300000011,300000011,0,0,0,,,,,,0,100001,3000000_pg_icon
30000002,莉莉娅奥义-单体,莉莉娅,,skillname_30000002,0,天之扉,skill_des_30000002,天之扉,skill_tip_des_30000002,3,,,,0,0,0,5,,300,0,14,1,"1,1,1","300000021,99999996","300000021,99999996",0,0,0,,,,,,0,100002,3000000_ay_icon
2100000,莉莉娅待机,无效,,skillname_2100000,0,待机,skill_des_2100000,无,skill_tip_des_2100000,6,,,,0,0,0,0,,0,0,14,0,0,300000030,300000030,0,0,0,,,,,,0,100010,standby_01_icon
30000003,莉莉娅回复CD,无效,,0,0,0,0,0,0,4,,,,0,0,0,0,,0,0,14,0,0,"99999997,99999998,99999970,99999971,99999972","99999970,99999971,99999972",0,0,0,,,,,,0,0,0
30000011,律普攻,律,,skillname_30000011,0,普通攻击,skill_des_30000011,"律催动魔器,发动攻击。",skill_tip_des_30000011,1,,1,,0,0,0,0,,0,0,14,1,"1,1,1","300000110,300000112","300000110,300000111,300000112",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","5,3,2,0,1",,3,"1,2,2,1,0",0,100011,3000001_pg_icon
30000012,律奥义-单体,律,,skillname_30000012,0,龙崽、听我号令！,skill_des_30000012,"律召唤巨龙袭击敌人,但它似乎没那么听话。",skill_tip_des_30000012,3,,2,,0,0,0,5,,300,0,14,"0,2,2,2","0;1,3;3,6;2,3",300000122;300000120;100;300000140,"300000120,300000121,300000123;300000140",0,0,0,"20003,1;20003,2;20003,3;999,1","10,7,5,0",3,,,0,100012,3000001_ay_icon
