Id,ZChinese,Chinese,English,Japanese,TChinese,Korean
ui_player_name_1,侍主,侍主,Lord Oracle,侍主,侍主,
ui_begin_0,进入游戏,进入游戏,Tap to Start,Tap To Start,進入遊戲,
ui_begin_1,登录游戏即视为同意,登录游戏即视为同意,,,,
ui_begin_2,《平台用户协议条款》,《平台用户协议条款》,,,,
ui_begin_3,《隐私政策》,《隐私政策》,,,,
ui_common_1,{0}天{1}小时,{0}天{1}小时,{0}d {1}h,{0}日{1}時間,{0}天{1}小時,
ui_common_2,{0}小时{1}分钟,{0}小时{1}分钟,{0}h {1}m,{0}時間{1}分,{0}小時{1}分鐘,
ui_common_3,{0}分钟{1}秒,{0}分钟{1}秒,{0}m {1}s,{0}分{1}秒,{0}分鐘{1}秒,
ui_common_4,{0}天,{0}天,{0}d ,{0}日,{0}天,
ui_common_5,{0}小时,{0}小时,{0}h ,{0}時間,{0}小時,
ui_common_6,{0}分钟,{0}分钟,{0}m ,{0}分,{0}分鐘,
ui_common_7,{0}秒,{0}秒,{0}s,{0}秒,{0}秒,
ui_common_8,获得道具,获得道具,Obtained,獲得アイテム,獲得道具,
ui_common_9,获得角色,获得角色,Obtained,獲得キャラクター,獲得角色,
ui_common_10,获得奇物,获得奇物,Obtained,獲得武器,獲得奇物,
ui_common_11,恢复连接,恢复连接,Reconnected,再接続する,恢復連接,
ui_common_12,支付购买,支付购买,Purchase,購入する,支付購買,
ui_common_13,使用代金券,使用代金券,Use Voucher,チケットを使用する,使用代金券,
ui_common_14,剩余{0}天{1}小时,剩余{0}天{1}小时,Ends in: {0}d {1}h,殘り{0}日{1}時間,剩餘{0}天{1}小時,
ui_common_15,剩余{0}小时{1}分钟,剩余{0}小时{1}分钟,Ends in: {0}h {1}m,殘り{0}時間{1}分,剩餘{0}小時{1}分鐘,
ui_common_16,剩余{0}分钟,剩余{0}分钟,Ends in: {0}m,殘り{0}分,剩餘{0}分鐘,
ui_common_17,{0}小时后刷新,{0}小时后刷新,Reset in {0}h,{0}時間後に更新,{0}小時刷新,
ui_common_18,{0}分钟后刷新,{0}分钟后刷新,Reset in {0}m,{0}分後に更新,{0}分鐘刷新,
ui_common_19,{0}天{1}小时刷新,{0}天{1}小时刷新,Reset in {0}d {1}h,{0}日{1}時間後に更新,{0}天{1}小時刷新,
ui_common_20,{0}小时{1}分钟刷新,{0}小时{1}分钟刷新,Reset in {0}h {1}m,{0}時間{1}分後に更新,{0}小時{1}分鐘刷新,
ui_common_21,奖励,奖励,Rewards,報酬,獎勵,
ui_common_22,已领取,已领取,Claimed,受け取り済み,已領取,
ui_common_23,兑换,兑换,Exchange,引換,兌換,
ui_common_24,新,新,new,NEW,新,
ui_common_25,点击任意处位置继续,点击任意处位置继续,Tap anywhere to continue,タッチして進む,點擊任意處位置繼續,
ui_common_26,{0}%,{0}%,{0}%,{0}%,{0}%,
ui_common_27,{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},
ui_common_28,{0}级,{0}级,Lv. {0},レベル{0},{0}級,
ui_common_29,加载中,加载中,Loading,ローディング中…,加載中,
ui_common_30,返回,返回,Return,戻る,返回,
ui_common_31,筛选,筛选,Filter,フィルター,篩選,
ui_common_32,确定,确定,Confirm,ＯＫ,確定,
ui_common_33,取消,取消,Cancel,キャンセル,取消,
ui_common_34,关闭,关闭,Close,閉じる,關閉,
ui_common_35,点击任意地方关闭界面,点击任意地方关闭界面,Tap anywhere to close,任意の場所をタッチして閉じる,點擊任意地方關閉介面,
ui_common_36,领取,领取,Claim,受け取る,領取,
ui_common_37,LV,LV,Lv.,LV,LV,
ui_common_38,MAX,MAX,MAX,MAX,MAX,
ui_common_39,获得,获得,Obtain,獲得,獲得,
ui_common_40,消耗,消耗,Consume,消費,消耗,
ui_common_42,重置,重置,Reset,リセット,重置,
ui_common_43,升级,升级,Upgrade,レベルアップ,升級,
ui_common_44,一键选择,一键选择,Select All,一括選択,一鍵選擇,
ui_common_45,{0}:{1}:{2},{0}:{1}:{2},{0}:{1}:{2},{0}:{1}:{2},{0}:{1}:{2},
ui_common_46,未上榜,未上榜,No rankings,順位無し,未上榜,
ui_common_47,保存,保存,Save,保存,保存,
ui_common_48,不保存,不保存,Don't save,保存しない,不保存,
ui_common_49,快捷购买,快捷购买,Purchase,クイック購入,快捷購買,
ui_common_50,（库存：{0}）,（库存：{0}）,(Own: {0}),（在庫：{0}）,（庫存：{0}）,
ui_common_51,使用,使用,Use,使用,使用,
ui_common_52,前往,前往,Go,向かう,前往,
ui_common_53,内心,内心,Musing,心の聲,內心,
ui_common_54,恢复默认,恢复默认,Reset,デフォルト,恢復默認,
ui_common_55,，,，,",",，,，,
