BuildId,Level,Type,UnlockCondition,UnlockText,Cost,Reward,time,Skills,Params,Param
1001,0,1,"101270,1",UnlockText_1001_1,,,,,,
1001,1,1,"102280,1",UnlockText_1001_2,,"1001003,10",60,30001,,
1001,2,1,"103200,1",UnlockText_1001_3,,"1001003,20",60,30002,,
1001,3,1,"104240,1",UnlockText_1001_4,,"1001003,30",60,30003,,
1001,4,1,"105330,1",UnlockText_1001_5,,"1001003,40",60,30004,,
1001,5,1,,,,"1001003,50",60,30004,,
1002,0,1,"101270,1",UnlockText_1002_1,,,,,,
1002,1,1,"102280,1",UnlockText_1002_2,,"1001003,10",60,30001,,
1002,2,1,"103200,1",UnlockText_1002_3,,"1001003,20",60,30002,,
1002,3,1,"104240,1",UnlockText_1002_4,,"1001003,30",60,30003,,
1002,4,1,"105330,1",UnlockText_1002_5,,"1001003,40",60,30004,,
1002,5,1,,,,"1001003,50",60,30004,,
1003,0,1,"101270,1",UnlockText_1003_1,,,,,,
1003,1,1,"102280,1",UnlockText_1003_2,,"1001003,10",60,30001,,
1003,2,1,"103200,1",UnlockText_1003_3,,"1001003,20",60,30002,,
1003,3,1,"104240,1",UnlockText_1003_4,,"1001003,30",60,30003,,
1003,4,1,"105330,1",UnlockText_1003_5,,"1001003,40",60,30004,,
1003,5,1,,,,"1001003,50",60,30004,,
1004,0,1,"101270,1",UnlockText_1004_1,,,,,,
1004,1,1,"102280,1",UnlockText_1004_2,,"1001003,10",60,30001,,
1004,2,1,"103200,1",UnlockText_1004_3,,"1001003,20",60,30002,,
1004,3,1,"104240,1",UnlockText_1004_4,,"1001003,30",60,30003,,
1004,4,1,"105330,1",UnlockText_1004_5,,"1001003,40",60,30004,,
1004,5,1,,,,"1001003,50",60,30004,,
1005,0,1,,,"1001003,100",,,,,
1005,1,1,,,"1001003,2400",,,,,
1005,2,1,,,"1001003,21600",,,,"1,-300;2,100;3,100;4,100",10
1005,3,1,,,"1001003,67200",,,,"1,-300;2,100;3,100;4,100",10
1005,4,1,,,"1001003,120000",,,,"1,-300;2,100;3,100;4,100",10
1005,5,1,,,"1001003,216000",,,,"1,-300;2,100;3,100;4,100",10
1005,6,1,,,"1001003,504000",,,,"1,-300;2,100;3,100;4,100",10
1005,7,1,,,"1001003,1152000",,,,"1,-300;2,100;3,100;4,100",20
1005,8,1,,,"1001003,1944000",,,,"1,-300;2,100;3,100;4,100",20
1005,9,1,,,"1001003,2880000",,,,"1,-300;2,100;3,100;4,100",20
1005,10,1,,,,,,,"1,-300;2,100;3,100;4,100",20
1006,0,1,,,"1001003,100",,,,,
1006,1,1,,,"1001003,2400",,,"30001,31001",,
1006,2,1,,,"1001003,21600",,,"30001,31001",,
1006,3,1,,,"1001003,67200",,,"30002,31002",,
1006,4,1,,,"1001003,120000",,,"30002,31002",,
1006,5,1,,,"1001003,216000",,,"30003,31003",,
1006,6,1,,,"1001003,504000",,,"30003,31003",,
1006,7,1,,,"1001003,1152000",,,"30004,31004",,
1006,8,1,,,"1001003,1944000",,,"30004,31004",,
1006,9,1,,,"1001003,2880000",,,"30005,31005",,
1006,10,1,,,,,,"30005,31005",,
2001,0,2,,,"1001003,100",,,,,
2001,1,2,,,"1001003,2400",,,,,
2001,2,2,,,"1001003,21600",,,,,
2001,3,2,,,"1001003,67200",,,,,
2001,4,2,,,"1001003,120000",,,,,
2001,5,2,,,"1001003,216000",,,,,
2001,6,2,,,"1001003,504000",,,,,
2001,7,2,,,"1001003,1152000",,,,,
2001,8,2,,,"1001003,1944000",,,,,
2001,9,2,,,"1001003,2880000",,,,,
2001,10,2,,,,,,,,
2002,0,2,,,"1001003,100",,,,,
2002,1,2,,,"1001003,2400",,,,,
2002,2,2,,,"1001003,21600",,,,,
2002,3,2,,,"1001003,67200",,,,,
2002,4,2,,,"1001003,120000",,,,,
2002,5,2,,,"1001003,216000",,,,,
2002,6,2,,,"1001003,504000",,,,,
2002,7,2,,,"1001003,1152000",,,,,
2002,8,2,,,"1001003,1944000",,,,,
2002,9,2,,,"1001003,2880000",,,,,
2002,10,2,,,,,,,,
2003,0,2,,,"1001003,100",,,,,
2003,1,2,,,"1001003,2400",,,,,
2003,2,2,,,"1001003,21600",,,,,
2003,3,2,,,"1001003,67200",,,,,
2003,4,2,,,"1001003,120000",,,,,
2003,5,2,,,"1001003,216000",,,,,
2003,6,2,,,"1001003,504000",,,,,
2003,7,2,,,"1001003,1152000",,,,,
2003,8,2,,,"1001003,1944000",,,,,
2003,9,2,,,"1001003,2880000",,,,,
2003,10,2,,,,,,,,
