EffectId,,EffectName,,EffectType,Opportunity,OpportunityDelay,OpportunityInterval,OpportunityParam,OpportunityTarget,OpportunityCondition,SpSender,SpTarget,BuffTarget,CheckHitRate,Rand,Category,Param,ParamLevelGrown,ParamEnergyGrown,ParamRefix,TurnType,TurnValue,TurnParam,TurnTarget,TurnCondition,TriggerTimes,Dispel,BuffDebuff,DamageType,DamageBoardType,BuffAddType,AddMax,BuffClean,Flag,BuffName,BuffDesc,Color,Icon,BuffId,ShowId,DisableAddShow,DisableEffectShow,Mutex
99,弱破表现效果,,,0,0,0,0,0,0,0,0,0,1,0,1000,0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,4000000,,,
100,强制驱散领域,,,2,0,0,0,0,0,0,0,0,1,0,1000,9,"999,999,1,0,10114,1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,0,,,0
101,弱点击破1层减防,EffectName_101,弱点击破I级:[att=103]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"2,103,-200,0,0",,0,0,3,999,0,0,0,0,0,7,11,0,1,0,0,0,BuffName_101,BuffDesc_101,,,101,4000166,,,0
102,弱点击破1层减效果抵抗,EffectName_102,弱点击破I级:[att=108]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"3,108,-100,0,0",,0,0,3,999,0,0,0,0,0,0,0,0,1,0,0,0,BuffName_101,BuffDesc_102,,,101,,,,0
103,弱点击破2层减防,EffectName_103,弱点击破II级:[att=103]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"2,103,-400,0,0",,0,0,3,999,0,0,0,0,0,7,12,0,1,0,0,0,BuffName_103,BuffDesc_103,,,103,4000167,,,0
104,弱点击破2层减效果抵抗,EffectName_104,弱点击破II级:[att=108]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"3,108,-200,0,0",,0,0,3,999,0,0,0,0,0,0,0,0,1,0,0,0,BuffName_103,BuffDesc_104,,,103,,,,0
105,弱点击破3层减防,EffectName_105,弱点击破III级:[att=103]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"2,103,-600,0,0",,0,0,3,999,0,0,0,0,0,7,13,0,1,0,0,0,BuffName_105,BuffDesc_105,,,105,4000168,,,0
106,弱点击破3层减效果抵抗,EffectName_106,弱点击破III级:[att=108]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"3,108,-300,0,0",,0,0,3,999,0,0,0,0,0,0,0,0,1,0,0,0,BuffName_105,BuffDesc_106,,,105,0,,,0
107,完全弱点击破减防,EffectName_107,完全弱点击破:[att=103]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"2,103,-800,0,0",,0,0,3,999,0,0,0,0,0,7,14,0,1,0,0,0,BuffName_107,BuffDesc_107,,,107,4000098,,,0
108,完全弱点击破减效果抵抗,EffectName_108,完全弱点击破:[att=108]<color=#fe7058>[Param=3]%</color>,2,0,0,0,0,0,0,0,0,1,0,1000,2,"3,108,-400,0,0",,0,0,3,999,0,0,0,0,0,0,0,0,1,0,0,0,BuffName_107,BuffDesc_108,,,107,0,,,0
