Id,,,Type,Drawing,DrawingCover,HeroId,PetId,SkinId,Expression,VoiceList,ActionList,ExpressionList
100101,律,,0,ui_jq_lihui_lv,SecretaryIcon/zy_zhanhui_lv,3000001,,,weixiao,,action_jinzhang;action_naobieniu;action_renzhen1;action_renzhen2;action_sajiao;action_shengqi;action_xinxu;action_yongli,expression_jinzhang;expression_naobieniu;expression_renzhen1;expression_renzhen2;expression_sajiao;expression_shengqi;expression_xinxu;expression_yongli
100201,克萝萝,,0,ui_jq_lihui_keluoluo,SecretaryIcon/zy_zhanhui_keluoluo,3000002,,,tianran,,action_haipa;action_kaixin;action_renzhen,expression_haipa;expression_kaixin;expression_renzhen
100301,黑神月咏,,0,ui_jq_lihui_heishenyueyong,SecretaryIcon/zy_zhanhui_heishenyueyong,3000003,,,weixiao,,action_sikao;action_xiaoji;action_yansu,expression_sikao;expression_xiaoji;expression_yansu
100401,安洁,,0,ui_jq_lihui_anjie,SecretaryIcon/zy_zhanhui_anjie,3000004,,,binglenlen,,action_kaixin;action_renzhen;action_xiaoji,expression_kaixin;expression_renzhen;expression_xiaoji
100501,米娅,,0,ui_jq_lihui_miya,SecretaryIcon/zy_zhanhui_miya,3000005,,,yuanqi,,action_kaixin;action_shengqi;action_yuanqi,kaixin;shengqi;yuanqi
100601,玛莎,,0,ui_jq_lihui_masha2,SecretaryIcon/zy_zhanhui_Martha,3000006,,,moren,,,
300301,阿涅克丝（站绘）,,0,ui_jq_lihui_aniekesi,SecretaryIcon/ui_jq_zhanhui_aniekesi,,3013003,,gaoxing,,,
300401,炽爱（站绘）,,0,ui_jq_lihui_chiai,SecretaryIcon/zy_zhanhui_chiai,,3013004,,renzhen,,,
300601,水仙（站绘）,,0,ui_jq_lihui_shuixian,SecretaryIcon/ui_jq_zhanhui_shuixian,,3013006,,weixiao,,,
301301,菲尔盖娜（站绘）,,0,ui_jq_lihui_feiergaina,SecretaryIcon/ui_jq_zhanhui_feiergaina,,3013013,,moren,,,
301501,哀歌（站绘）,,0,ui_jq_lihui_aige,SecretaryIcon/ui_jq_zhanhui_aige,,3013015,,weixiao,,,
301901,库萝心（站绘）,,0,ui_jq_lihui_kuluoxin,SecretaryIcon/zy_zhanhui_kuluoxin,,3013019,,weixiao,,,
400101,普琳普顿（站绘）,,0,ui_jq_lihui_pulinpudun,SecretaryIcon/ui_jq_zhanhui_pulinpudun,,3014001,,weixiao,,,
400201,黛比（站绘）,,0,ui_jq_lihui_daibi,SecretaryIcon/ui_jq_zhanhui_daibi,,3014002,,moren,,,
400501,弥生（站绘）,,0,ui_jq_lihui_misheng,SecretaryIcon/ui_jq_zhanhui_misheng,,3014005,,weixiao,,,
400601,恋花（站绘）,,0,ui_jq_lihui_lianhua,SecretaryIcon/ui_jq_zhanhui_lianhua,,3014006,,zhengchang,,,
