Id,NextRank,Rank,Score,,RankInherit,ScoreProtect,RankProtect,Matenum,Weight,LoseCompensate,MateCompensate,HiddenpointsPoor,Hiddenpoints,PondDifference,OvertimeBonus,BonusLimits,RankReward,SeasonRewardMail,MatchTime,Votes,BanLimit,RankIcon
1,2,laddermatc_1,0,黑铁勇者I,1,0,0,3,"100,0",0,0,"10,10,0","0,10","0,150","0,1","0,10",0,0,"15,50","10,10","0,0",rank_1
2,3,laddermatc_2,50,黑铁勇者II,1,0,0,3,"100,0",0,0,"10,10,0","-20,50","0,200","-1,2","-10,15","1,10000;3,100;9102,1",0,"15,50","1,1","0,0",rank_1
3,4,laddermatc_3,100,黑铁勇者III,2,0,0,3,"100,0",0,0,"10,10,0","-150,150","50,300","-2,3","-20,25","1,20000;3,200;9103,1",0,"15,100","1,1","1,0",rank_1
4,5,laddermatc_4,200,白银勇者I,2,0,1,3,"100,0",0,0,"10,10,0","-150,150","100,400","-2,3","-20,25","1,30000;3,300;9104,1",0,"15,100","1,1","0,1",rank_2
5,6,laddermatc_5,300,白银勇者II,3,0,1,3,"100,0",0,0,"10,10,0","-150,150","200,500","-3,4","-20,25","1,40000;3,400;9105,1",0,"15,100","1,1","1,1",rank_2
6,7,laddermatc_6,400,白银勇者III,3,0,1,3,"100,0",0,0,"10,10,0","-150,150","300,600","-3,4","-20,25","1,50000;3,500;9106,1",0,"15,100","1,1","1,1",rank_2
7,8,laddermatc_7,500,黄金勇者I,4,1,1,3,"100,0",0,0,"10,10,0","-150,150","400,700","-4,5","-20,25","1,60000;3,600;9107,1",0,"15,100","1,1","1,1",rank_3
8,9,laddermatc_8,600,黄金勇者II,4,1,0,3,"100,0",0,0,"10,10,0","-150,150","500,800","-4,5","-20,25","1,70000;3,700;9108,1",0,"15,100","1,1","1,1",rank_3
9,10,laddermatc_9,700,黄金勇者III,5,1,0,5,"100,0",0,0,"10,10,0","-150,150","600,900","-4,5","-20,25","1,80000;3,800;9109,1",0,"15,100","1,1","1,1",rank_3
10,11,laddermatc_10,800,辉煌勇者I,5,1,1,5,"100,0",0,0,"10,10,1","-150,150","700,1000","-4,5","-20,25","1,90000;3,900;9110,1",10101,"15,100","2,2","1,1",rank_4
11,12,laddermatc_11,900,辉煌勇者II,6,1,0,5,"100,0",0,0,"10,10,1","-150,150","800,1100","-4,5","-20,25","1,100000;3,1000;9111,1",10102,"15,100","2,2","1,1",rank_4
12,13,laddermatc_12,1100,绝世勇者I,6,1,1,5,"100,0",0,0,"20,20,1","-250,250","900,1300","-5,6","-20,25","1,110000;3,1100;9112,1",10103,"15,200","2,2","1,1",rank_5
13,14,laddermatc_13,1300,绝世勇者II,7,1,0,5,"100,0",0,0,"20,20,1","-250,250","1100,1500","-5,6","-20,25","1,120000;3,1200",10104,"15,200","2,2","1,1",rank_5
14,15,laddermatc_14,1500,神谕勇者I,7,1,1,5,"100,0",0,0,"20,20,1","-250,250","1300,1700","-5,6","-20,25","1,130000;3,1300",10105,"15,200","3,3","1,1",rank_6
15,16,laddermatc_15,1700,神谕勇者II,8,1,0,5,"100,0",0,0,"20,20,1","-450,450","1500,2000","-5,6","-20,25","1,140000;3,1400",10106,"15,200","3,3","1,1",rank_6
16,17,laddermatc_16,2000,传说勇者I,8,1,1,5,"100,0",0,0,"20,20,1","-450,450","1700,2500","-6,6","-20,25","1,150000;3,1500",10107,"15,200","3,3","1,1",rank_7
17,0,laddermatc_17,2500,传说勇者II,9,1,0,5,"100,0",0,0,"20,20,1","-450,450","2000,9999","-8,0","-20,25","1,160000;3,1600",10108,"15,600","3,3","1,1",rank_7
