Id,MonsterId,Attrs,Skills
1,3050001,"30500011,30500012,30500013,30500014,30500015",
2,30500011,"305000111,305000112,305000113,305000114,305000115",
3,30500012,"305000121,305000122,305000123,305000124,305000125",
4,3050002,"30500021,30500022,30500023,30500024,30500025",
5,30500021,"305000211,305000212,305000213,305000214,305000215",
6,30500022,"305000221,305000222,305000223,305000224,305000225",
7,3050003,"30500031,30500032,30500033,30500034,30500035",
8,30500031,"305000311,305000312,305000313,305000314,305000315",
9,30500032,"305000321,305000322,305000323,305000324,305000325",
10,3050004,"30500041,30500042,30500043,30500044,30500045",
11,30500041,"305000411,305000412,305000413,305000414,305000415",
12,30500042,"305000421,305000422,305000423,305000424,305000425",
13,30500043,"305000431,305000432,305000433,305000434,305000435",
14,3050005,"30500051,30500052,30500053,30500054,30500055",
15,30500051,"305000511,305000512,305000513,305000514,305000515",
16,30500052,"305000521,305000522,305000523,305000524,305000525",
17,3050006,"30500061,30500062,30500063,30500064,30500065",
18,30500061,"305000611,305000612,305000613,305000614,305000615",
19,30500062,"305000621,305000622,305000623,305000624,305000625",
20,3050007,"30500071,30500072,30500073,30500074,30500075",
21,30500071,"305000711,305000712,305000713,305000714,305000715",
22,30500072,"305000721,305000722,305000723,305000724,305000725",
23,3050011,"30500111,30500112,30500113,30500114,30500115",
24,30500111,"305001111,305001112,305001113,305001114,305001115",
25,30500112,"305001121,305001122,305001123,305001124,305001125",
26,3050012,"30500121,30500122,30500123,30500124,30500125",
27,30500121,"305001211,305001212,305001213,305001214,305001215",
28,30500122,"305001221,305001222,305001223,305001224,305001225",
29,3050013,"30500131,30500132,30500133,30500134,30500135",
30,30500131,"305001311,305001312,305001313,305001314,305001315",
31,30500132,"305001321,305001322,305001323,305001324,305001325",
32,3050014,"30500141,30500142,30500143,30500144,30500145",
33,30500141,"305001411,305001412,305001413,305001414,305001415",
34,30500142,"305001421,305001422,305001423,305001424,305001425",
35,3050015,"30500151,30500152,30500153,30500154,30500155",
36,30500151,"305001511,305001512,305001513,305001514,305001515",
37,30500152,"305001521,305001522,305001523,305001524,305001525",
38,3050016,"30500161,30500162,30500163,30500164,30500165",
39,30500161,"305001611,305001612,305001613,305001614,305001615",
40,30500162,"305001621,305001622,305001623,305001624,305001625",
41,3050017,"30500171,30500172,30500173,30500174,30500175",
42,30500171,"305001711,305001712,305001713,305001714,305001715",
43,30500172,"305001721,305001722,305001723,305001724,305001725",
44,3050036,"30500361,30500362,30500363,30500364,30500365",
45,30500361,"305003611,305003612,305003613,305003614,305003615",
46,3050037,"30500371,30500372,30500373,30500374,30500375",
47,30500371,"305003711,305003712,305003713,305003714,305003715",
48,3050046,"30500461,30500462,30500463,30500464,30500465",
49,30500461,"305004611,305004612,305004613,305004614,305004615",
50,3050047,"30500471,30500472,30500473,30500474,30500475",
51,30500471,"305004711,305004712,305004713,305004714,305004715",
