Name,,Id,Path,Atlas,IsMainWnd,IsSceneWnd,IsBlurBG,GroupId,Layer,DestroyOnHide,DestroyOnChangeScene,CanHideByMainWnd,HideOnChangeScene,HideMainCamera,CommonSet,ResSet,HelpSet,Bgm
Loading_Main,loading界面,1,UI/Prefab/Loading/Loading,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
Login_Main,登录界面,2,UI/Prefab/Login/Login,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8120000
UIMain,主界面,3,UI/Prefab/UIMain/UIMain,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Role_Main,魔女,4,UI/Prefab/Role/Role,"Witch_Details,Witch_Looks",0,0,0,0,1,1,0,0,0,0,1,0,1,1
MessageBox,通用弹窗,5,UI/Prefab/Common/MessageBox,Common_Other,0,0,1,0,5,1,0,0,0,0,0,0,0,0
BubbleBox,冒泡,6,UI/Prefab/Common/BubbleBox,Common_Other,0,0,0,0,5,1,0,0,0,0,0,0,0,0
MarqueeBox,跑马灯,7,UI/Prefab/Common/MarqueeBox,Common_Other,0,0,0,0,4,1,0,0,0,0,0,0,0,0
RewardsBox,道具获取弹窗,8,UI/Prefab/Common/RewardsBox,Common_Other,0,0,0,0,2,1,0,0,0,0,0,0,0,0
SetName_Main,改名,9,UI/Prefab/Common/SetName,,0,0,0,0,3,1,0,0,0,0,0,0,0,0
Reconnect,断线重连,10,UI/Prefab/Common/Reconnect,,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Guide_Main,新手引导,11,UI/Prefab/Guide/Guide,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Fight_Main,战斗界面,12,UI/Prefab/Fight/FightMain,,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FightInfo_Main,战斗信息界面,13,UI/Prefab/Fight/FightInfo,,0,0,0,0,1,0,1,0,0,0,0,0,0,0
FightResult_Main,战斗结算界面,14,UI/Prefab/Fight/FightResult,,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FightMonsterDetail_Main,怪物引导信息界面,15,UI/Prefab/Fight/FightMonsterDetail,,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mail_Main,邮件界面,16,UI/Prefab/Mail/Mail,,0,0,0,0,1,1,0,0,0,0,0,"1,2",0,0
NetWaiting_Main,网络等待界面,17,UI/Prefab/Common/NetWaiting,Common_Other,0,0,0,0,7,1,0,0,0,0,0,0,0,0
Notice_Main,公告弹窗,18,UI/Prefab/Notice/NoticeMain,,0,0,1,0,2,1,0,0,0,0,0,0,0,0
PlayerFile_Main,玩家信息界面,19,UI/Prefab/PlayerFile/PlayerFileMain,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
Shop_Main,商店界面,20,UI/Prefab/Shop/Shop,NewShop_RechargeShop,0,0,0,0,1,1,0,0,0,0,1,0,1,8120042
RolePetWareHouse_Main,星痕列表界面,21,UI/Prefab/RolePetWareHouse/RolePetWareHouse,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
Quest_Main,任务界面,22,UI/Prefab/Quest/QuestMain,,0,0,0,0,1,1,0,0,0,0,1,0,1,0
TeamView_Main,编队,23,UI/Prefab/Team/TeamView,Team_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,0
RolePetAttr_Main,星痕详情界面,24,UI/Prefab/RolePet/RolePetAttrView,,0,0,0,0,1,1,0,0,0,0,1,0,1,0
RoleSkill_Main,魔女技能,25,UI/Prefab/Role/RoleSkill,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
RoleRune_Main,魔女符文,26,UI/Prefab/Role/RoleRune,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
RoleRunePackage_Main,魔女符文仓库,27,UI/Prefab/Role/RoleRunePackage,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
RoleRuneLevelUp_Main,魔女符文培养,28,UI/Prefab/Role/RoleRuneLevelUp,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
RoleLevelUp_Main,魔女升级,29,UI/Prefab/Role/RoleLevelUp,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
RoleLevelUpTalent_Main,魔女升级树,30,UI/Prefab/Role/RoleLevelUpTalent,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
Archives_Main,档案室,31,UI/Prefab/Archives/ArchivesPanel,"Review_Main,Archives",0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
DressCollect_Main,档案室收藏,32,UI/Prefab/Archives/DressCollect,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
TeamRoleSelectView_Main,编队魔女选择界面,33,UI/Prefab/Team/TeamRoleSelectView,Team_Main,0,0,0,0,1,1,0,0,0,0,0,0,0,8120042
TeamRolePetSelectView_Main,编队星痕选择界面,34,UI/Prefab/Team/TeamRolePetSelectView,Team_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
IllustratedOver_Main,档案室图鉴,35,UI/Prefab/Illustrated/Overview/IllustratedOverView,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
Chronicle_Main,档案室编年史,36,UI/Prefab/Chronicle/ChronicleMainPanel,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
Review_Main,档案室剧情回顾,37,UI/Prefab/Review/ReviewMainPanel,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
MusicBox_Main,档案室音乐,38,UI/Prefab/MusicBox/MusicBox,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,0
IllustratedWitch_Main,档案室图鉴魔女,39,UI/Prefab/Illustrated/Witch/IllustratedWitch,"Review_Main,Illustrated",0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
IllustratedMonster_Main,档案室图鉴怪物,40,UI/Prefab/Illustrated/Monster/IllustratedMonster,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
IllustratedCG_Main,档案室图鉴插画,41,UI/Prefab/Illustrated/CG/IllustratedCG,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
IllustratedGospel_Main,档案室图鉴星痕,42,UI/Prefab/Illustrated/Gospel/IllustratedGospel,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
IllustratedNPC_Main,档案室图鉴剧情角色,43,UI/Prefab/Illustrated/Npc/IllustratedNPC,Review_Main,0,0,0,0,1,1,0,0,0,0,1,0,0,8120042
RolePetAwake_Main,星痕觉醒界面,44,UI/Prefab/RolePet/RolePetAwakeView,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
RolePetBreak_Main,星痕突破界面,45,UI/Prefab/RolePet/RolePetBreakView,,0,0,0,0,1,1,0,0,0,0,1,0,0,1
