Id,,RolePetName,RolePetEnName,InvertItem,RoleAwakenExt,DressId,Type,Rank,Skill,SkillLock,SkillLevelUp,RoleCombo,RoleResId,SkinId,like,moderate,dislike,ContractRaward,ContractCondition,RecommendTeam,Open,LifeSkill
3013001,格蕾,rolepet_name_3013001,rolepet_en_name_3013001,"1009003,1","1001015,20",5002001,5,3,"30130011,30130012,30130013","0,0,1",10001,"3900001,3900005",3013001,3013001,"1006607,1006606,1006603","1006609,1006604,1006601","1006608,1006605,1006602",,,,,1001
3013003,阿涅克丝,rolepet_name_3013003,rolepet_en_name_3013003,"1009004,1","1001016,3",5002002,4,4,"30130031,30130032,30130033","0,0,1",10002,"3900003,3900006",3013003,3013003,"1006608,1006607,1006605,1006601","1006609,1006606,1006604,1006603,1006602",,,,"10008,10009",,1002
3013004,炽爱,rolepet_name_3013004,rolepet_en_name_3013004,"1009005,1","1001016,3",5002003,5,4,"30130041,30130042,30130043","0,0,1",10002,"3900001,3900005",3013004,"3013004,301300401","1006609,1006606,1006603","1006607,1006605,1006602","1006608,1006604,1006601",,,"2,4,6,8,10001,10003,10005,10006",,1002
3013006,水仙,rolepet_name_3013006,rolepet_en_name_3013006,"1009007,1","1001016,3",5002004,4,4,"30130061,30130062,30130063","0,0,1",10002,"3900001,3900005",3013006,3013006,"1006607,1006606,1006602","1006608,1006605,1006601","1006609,1006604,1006603",,,10005,,1002
3013007,菲莉希亚,rolepet_name_3013007,rolepet_en_name_3013007,"1009008,1","1001015,20",5002005,1,3,"30130071,30130072,30130073","0,0,1",10001,"3900002,3900004",3013007,3013007,"1006608,1006604,1006603","1006607,1006606,1006601","1006609,1006605,1006602",,,,,1001
3013008,梅露特,rolepet_name_3013008,rolepet_en_name_3013008,"1009009,1","1001015,20",5002006,6,3,"30130081,30130082,30130083","0,0,1",10001,"3900001,3900005",3013008,3013008,"1006608,1006605,1006603,1006601","1006607,1006604,1006602","1006609,1006606",,,,,1001
3013009,奈奈芙,rolepet_name_3013009,rolepet_en_name_3013009,"1009010,1","1001015,20",5002007,7,3,"30130091,30130092,30130093","0,0,1",10001,"3900001,3900005",3013009,3013009,"1006609,1006605,1006603","1006607,1006606,1006602","1006608,1006604,1006601",,,,,1001
3013013,菲尔盖娜,rolepet_name_3013013,rolepet_en_name_3013013,"1009013,1","1001016,15",5002064,3,5,"30130131,30130132,30130133","0,0,1",10002,"3900003,3900006",3013013,3013013,"1006607,1006605,1006603","1006608,1006606,1006602","1006609,1006604,1006601",,,,-1,"1003,1007"
3013014,玛瑙,rolepet_name_3013014,rolepet_en_name_3013014,"1009014,1","1001015,20",5002008,4,3,"30130141,30130142,30130143","0,0,1",10001,"3900002,3900004",3013014,3013014,"1006608,1006606,1006604,1006603","1006609,1006605,1006602,1006601",1006607,,,,,1001
3013015,哀歌,rolepet_name_3013015,rolepet_en_name_3013015,"1009015,1","1001016,3",5002009,7,4,"30130151,30130152,30130153","0,0,1",10002,"3900002,3900004",3013015,3013015,"1006608,1006606,1006602","1006609,1006604,1006601","1006607,1006605,1006603",,,10005,,1002
3013017,波斯菊,rolepet_name_3013017,rolepet_en_name_3013017,"1009017,1","1001015,20",5002010,4,3,"30130171,30130172,30130173","0,0,1",10001,"3900002,3900004",3013017,3013017,"1006605,1006604,1006601","1006609,1006608,1006606,1006603,1006602",1006607,,,10003,,1001
3013018,爱琳,rolepet_name_3013018,rolepet_en_name_3013018,"1009018,1","1001015,20",5002011,3,3,"30130181,30130182,30130183","0,0,1",10001,"3900002,3900004",3013018,3013018,"1006607,1006606,1006603","1006609,1006608,1006605,1006604,1006602,1006601",,,,,,1001
3013019,库萝心,rolepet_name_3013019,rolepet_en_name_3013019,"1009019,1","1001016,3",5002012,6,4,"30130191,30130192,30130193","0,0,1",10002,"3900003,3900006",3013019,3013019,"1006607,1006604","1006609,1006608,1006606,1006605,1006602,1006601",1006603,,,"1,2,7,8,10001,10002,10007",,1002
3013020,维达,rolepet_name_3013020,rolepet_en_name_3013020,"1009020,1","1001015,20",5002013,7,3,"30130201,30130202,30130203","0,0,1",10001,"3900003,3900006",3013020,3013020,"1006609,1006606,1006602","1006607,1006605,1006604,1006603,1006601",1006608,,,,,1001
3013022,莱拉,rolepet_name_3013022,rolepet_en_name_3013022,"1009021,1","1001015,20",5002014,2,3,"30130221,30130222,30130223","0,0,1",10001,"3900001,3900005",3013022,3013022,"1006607,1006604,1006603","1006608,1006605,1006601","1006609,1006606,1006602",,,,,1001
3013023,芙洛拉,rolepet_name_3013023,rolepet_en_name_3013023,"1009022,1","1001015,20",5002015,1,3,"30130231,30130232,30130233","0,0,1",10001,"3900003,3900006",3013023,3013023,"1006608,1006604,1006602","1006607,1006605,1006601","1006609,1006606,1006603",,,10005,,1001
3013025,多萝西,rolepet_name_3013025,rolepet_en_name_3013025,"1009024,1","1001015,20",5002017,3,3,"30130251,30130252,30130253","0,0,1",10001,"3900003,3900006",3013025,3013025,"1006608,1006606,1006603","1006609,1006605,1006602,1006601","1006607,1006604",,,10001,,1001
3014001,普琳普顿,rolepet_name_3014001,rolepet_en_name_3014001,"1009025,1","1001016,3",5002018,2,4,"30140011,30140012,30140013","0,0,1",10002,"3900002,3900004",3014001,3014001,"1006609,1006604,1006602","1006608,1006605,1006601","1006607,1006606,1006603",,,"10001,10005,10006",,1002
3014002,黛比,rolepet_name_3014002,rolepet_en_name_3014002,"1009026,1","1001016,3",5002060,4,4,"30140021,30140022,30140023","0,0,1",10002,"3900002,3900004",3014002,3014002,"1006607,1006605,1006603","1006608,1006604,1006601","1006609,1006606,1006602",,,"10008,10009","0,8,9,10",1002
3014003,焰心,rolepet_name_3014003,rolepet_en_name_3014003,"1009027,1","1001015,20",5002019,5,3,"30140031,30140032,30140033","0,0,1",10001,"3900002,3900004",3014003,3014003,"1006608,1006606,1006601","1006607,1006605,1006604,1006603,1006602",1006609,,,,,1001
3014004,索菲,rolepet_name_3014004,rolepet_en_name_3014004,"1009028,1","1001015,20",5002020,2,3,"30140041,30140042,30140043","0,0,1",10001,"3900001,3900005",3014004,3014004,"1006607,1006606,1006603","1006608,1006604,1006601","1006609,1006605,1006602",,,,,1001
3014005,弥生,rolepet_name_3014005,rolepet_en_name_3014005,"1009029,1","1001016,3",5002021,3,4,"30140051,30140052,30140053","0,0,1",10002,"3900002,3900004",3014005,3014005,"1006608,1006605,1006603","1006609,1006604,1006602","1006607,1006606,1006601",,,10003,"0,1,6,7,8,9,10",1002
3014006,恋花,rolepet_name_3014006,rolepet_en_name_3014006,"1009031,1","1001016,15",5002062,4,5,"30140061,30140062,30140063","0,0,1",10003,"3900002,3900004",3014006,3014006,"1006609,1006605,1006601","1006608,1006604,1006602","1006607,1006606,1006603",,,,-1,"1003,1006"
3014009,桃,rolepet_name_3014009,rolepet_en_name_3014009,"1009033,1","1001016,15",5002050,3,5,"30140091,30140092,30140093","0,0,1",10003,"3900003,3900006",3014009,"3014009,301400901,113014009","1006609,1006605,1006603","1006608,1006606,1006601","1006607,1006604,1006602",,,"3,4,10003,10004","0,2,3,4,5,6,7,8,9,10","1003,1005"
3014011,艾斯塔利亚,rolepet_name_3014011,rolepet_en_name_3014011,"1009035,1","1001016,15",5002058,3,5,"30140111,30140112,30140113","0,0,1",10003,"3900002,3900004",3014011,3014011,"1006608,1006605,1006601","1006607,1006609,1006606,1006602","1006604,1006603",,,,-1,"1003,1004"
3014012,未来,rolepet_name_3014012,rolepet_en_name_3014012,"1009036,1","1001015,20",5002022,3,3,"30140121,30140122,30140123","0,0,1",10001,"3900002,3900004",3014012,3014012,"1006607,1006603","1006609,1006606,1006605,1006604,1006602,1006601",1006608,,,,,1001
3014016,杏林,rolepet_name_3014016,rolepet_en_name_3014016,"1009040,1","1001015,20",5002023,7,3,"30140161,30140162,30140163","0,0,1",10001,"3900002,3900004",3014016,3014016,"1006609,1006605,1006603","1006608,1006606,1006604,1006602","1006607,1006601",,,,,1001
3014017,花梨,rolepet_name_3014017,rolepet_en_name_3014017,"1009041,1","1001016,15",5002063,4,5,"30140171,30140172,30140173","0,0,1",10003,"3900002,3900004",3014017,3014017,"1006608,1006604,1006603","1006609,1006605,1006602","1006607,1006606,1006601",,,,-1,"1003,1008"
3014018,诗娅,rolepet_name_3014018,rolepet_en_name_3014018,"1009042,1","1001015,20",5002024,1,3,"30140181,30140182,30140183","0,0,1",10001,"3900003,3900006",3014018,3014018,"1006609,1006605,1006603","1006608,1006604,1006602,1006601","1006607,1006606",,,10003,,1001
3014019,艾什尔,rolepet_name_3014019,rolepet_en_name_3014019,"1009043,1","1001016,3",5002025,1,4,"30140191,30140192,30140193","0,0,1",10002,"3900001,3900005",3014019,3014019,"1006608,1006606","1006607,1006605,1006602,1006601","1006609,1006604,1006603",,,,,1002
3014020,阿波菲斯,rolepet_name_3014020,rolepet_en_name_3014020,"1009044,1","1001016,3",5002026,2,4,"30140201,30140202,30140203","0,0,1",10002,"3900003,3900006",3014020,3014020,"1006607,1006606,1006603","1006609,1006605,1006602","1006608,1006604,1006601",,,"3,4,10003,10004",,1002
3014021,纳菲,rolepet_name_3014021,rolepet_en_name_3014021,"1009045,1","1001016,3",5002027,2,4,"30140211,30140212,30140213","0,0,1",10002,"3900003,3900006",3014021,"3014021,301402101,123014021","1006607,1006606,1006601","1006609,1006605,1006603,1006602","1006608,1006604",,,"3,10003,10005",,1002
3014022,丘吉尔,rolepet_name_3014022,rolepet_en_name_3014022,"1009046,1","1001016,3",5002028,5,4,"30140221,30140222,30140223","0,0,1",10002,"3900002,3900004",3014022,"3014022,301402201","1006607,1006605,1006602","1006609,1006604,1006603,1006601","1006608,1006606",,,"3,10001,10003",,1002
3014023,神光,rolepet_name_3014023,rolepet_en_name_3014023,"1009047,1","1001016,15",5002029,5,5,"30140231,30140232,30140233","0,0,1",10003,"3900003,3900006",3014023,"3014023,301402301,301402302","1006609,1006605,1006603","1006607,1006604,1006602,1006601","1006608,1006606",,,"1,2,6,7,8,10001,10002,10007",,1003
3014024,雷雷,rolepet_name_3014024,rolepet_en_name_3014024,"1009048,1","1001016,15",5002030,4,5,"30140241,30140242,30140243","0,0,1",10003,"3900002,3900004",3014024,"3014024,301402401","1006608,1006606,1006602","1006607,1006604,1006603,1006601","1006609,1006605",,,"3,5,10002,10004",,1003
3014025,安普莎,rolepet_name_3014025,rolepet_en_name_3014025,"1009049,1","1001016,15",5002031,6,5,"30140251,30140252,30140253","0,0,1",10003,"3900001,3900005",3014025,"3014025,301402501,301402502","1006607,1006606","1006605,1006603,1006602","1006609,1006608,1006604",,,"2,4,6,10002,10006,10007,10008",,1003
3014026,库萝爱,rolepet_name_3014026,rolepet_en_name_3014026,"1009050,1","1001016,3",5002032,6,4,"30140261,30140262,30140263","0,0,1",10002,"3900003,3900006",3014026,3014026,"1006607,1006604,1006603","1006608,1006605,1006602","1006609,1006606,1006601",,,"1,2,7,8,10001,10002,10007",,1002
