Id,Desc,,Type,Chooses,NextDrop,ChooseTargetType,ChooseTargetAttributeType,ChooseTargetAttribute,ChooseTargetConditions,UseSkillRoleConditions,UseSkillRoleCountCamp,UseSkillRoleCountConditions,IsPercent,RoleCountConditionMin,RoleCountConditionMax
1,autofight_1,敌方技能目标选择,2,"11,12",,,,,,,,,,,
2,autofight_2,己方技能目标选择,1,"11,12",,,,,,,,,,,
3,autofight_3,技能条件选择{0},3,4,,,,,,,,,,,
4,autofight_4,技能默认选择,5,,5,,,,,,,,,,
5,autofight_5,技能条件选择,4,"30,31,32",,,,,,,,,,,
8,autofight_8,最高使用能量数,8,"80,81,82,83",,,,,,,,,,,
9,autofight_9,满足条件的目标数量最小值,10,,,,,,,,,,,0,3
10,autofight_10,满足条件的目标数量最大值,11,,,,,,,,,,,0,3
11,autofight_11,随机目标,4,,,1,,,,,,,,,
12,autofight_12,满足条件的目标,4,,13,,,,,,,,,,
13,autofight_13,目标的条件,6,"20,22",,2,,,,,,,,,
20,autofight_20,属性目标,4,,21,,,,,,,,,,
21,autofight_21,目标的属性,6,"121,122,123,124,125,126,127,128,129,130,131",,,,,,,,,,,
22,autofight_22,状态目标,4,,23,,,,,,,,,,
23,autofight_23,目标的状态,6,"201,202,203,204,205,206,207,208,209,210",,,,,,,,,,,
30,autofight_30,自身技能条件,5,,33,,,,,,,,,,
31,autofight_31,友方技能条件,5,,34,,,,,,,,,,
32,autofight_32,敌方技能条件,5,,35,,,,,,,,,,
33,autofight_33,自身的条件,,"301,303",,,,,,,,,,,
34,autofight_34,友方的条件,,"306,307",,,,,,,,,,,
35,autofight_35,敌方的条件,,"304,305",,,,,,,,,,,
80,autofight_80,不使用灵魂解放,9,,,,,,,,,,,,
81,autofight_81,最多1层灵魂解放,9,,,,,,,,,,,,
82,autofight_82,最多2层灵魂解放,9,,,,,,,,,,,,
83,autofight_83,最多3层灵魂解放,9,,,,,,,,,,,,
121,autofight_121,当前行动值,6,,421,,,,,,,,,,
122,autofight_122,当前生命值,6,,422,,,,,,,,,,
123,autofight_123,当前护盾值,6,,423,,,,,,,,,,
124,autofight_124,当前弱点,6,,424,,,,,,,,,,
125,autofight_125,当前已损失生命值,6,,425,,,,,,,,,,
126,autofight_126,当前能量值,6,,426,,,,,,,,,,
127,autofight_127,当前攻击值,6,,427,,,,,,,,,,
128,autofight_128,当前防御值,6,,428,,,,,,,,,,
129,autofight_129,当前速度值,6,,429,,,,,,,,,,
130,autofight_130,当前增益效果数量,6,,430,,,,,,,,,,
131,autofight_131,当前负面效果数量,6,,431,,,,,,,,,,
421,autofight_421,最高/最低,4,"1210,1211",,,,,,,,,,,
422,autofight_422,最高/最低,4,"1220,1221",,,,,,,,,,,
423,autofight_423,最高/最低,4,"1230,1231",,,,,,,,,,,
424,autofight_424,最高/最低,4,"1240,1241",,,,,,,,,,,
425,autofight_425,最高/最低,4,"1250,1251",,,,,,,,,,,
426,autofight_426,最高/最低,4,"1260,1261",,,,,,,,,,,
427,autofight_427,最高/最低,4,"1270,1271",,,,,,,,,,,
428,autofight_428,最高/最低,4,"1280,1281",,,,,,,,,,,
429,autofight_429,最高/最低,4,"1290,1291",,,,,,,,,,,
430,autofight_430,最高/最低,4,"1300,1301",,,,,,,,,,,
431,autofight_431,最高/最低,4,"1310,1311",,,,,,,,,,,
201,autofight_201,弱点击破的目标,6,,,,,,"110040,0,0",,,,,,
202,autofight_202,未被弱点击破的目标,6,,,,,,"110040,1,100000000",,,,,,
203,autofight_203,有控制状态的目标,6,,,,,,"112,1,999",,,,,,
204,autofight_204,无控制状态的目标,6,,,,,,"112,0,0",,,,,,
205,autofight_205,有灼烧的目标,6,,,,,,"3001,1,999",,,,,,
206,autofight_206,无灼烧的目标,6,,,,,,"3001,0,0",,,,,,
207,autofight_207,有侵蚀的目标,6,,,,,,"3012,1,999",,,,,,
208,autofight_208,无侵蚀的目标,6,,,,,,"3012,0,0",,,,,,
209,autofight_209,定身的目标,6,,,,,,"3011,1,999",,,,,,
210,autofight_210,未定身的目标,6,,,,,,"3011,0,0",,,,,,
301,autofight_301,自身属性条件,5,,311,,,,,,,,,,
302,autofight_302,自身状态条件,5,,312,,,,,,,,,,
303,autofight_303,其他条件,5,,313,,,,,,,,,,
304,autofight_304,敌方属性条件,5,,314,,,,,,,,,,
305,autofight_305,敌方状态条件,5,,315,,,,,,,,,,
306,autofight_306,友方属性条件,5,,316,,,,,,,,,,
307,autofight_307,友方状态条件,5,,317,,,,,,,,,,
311,autofight_311,属性条件类型,6,"30001,30002,30004,30005,30006,30007",,,,,,,,,,,
312,autofight_312,状态条件类型,6,,,,,,,,,,,,
313,autofight_313,其它条件类型,6,"32001,32002,32003",,,,,,,,,,,
314,autofight_314,敌方属性条件类型,6,"30101,30102,30103,30104,30105,30106,30107",,,,,,,,,,,
315,autofight_315,敌方状态条件类型,6,"31001,31002,31003,31004,31005,31006,31007,31011,31012,31013,31014,31015,31016,31017",,,,,,,,,,,
316,autofight_316,友方属性条件类型,6,"30201,30202,30204,30205,30206,30207",,,,,,,,,,,
317,autofight_317,友方状态条件类型,6,"31101,31102,31103,31104,31105,31106,31107",,,,,,,,,,,
1210,autofight_1210,最高,6,,,2,1,1,,,,,,,
1211,autofight_1211,最低,6,,,2,2,1,,,,,,,
1220,autofight_1220,最高,6,,,2,1,2,,,,,,,
1221,autofight_1221,最低,6,,,2,2,2,,,,,,,
1230,autofight_1230,最高,6,,,2,1,3,,,,,,,
1231,autofight_1231,最低,6,,,2,2,3,,,,,,,
1240,autofight_1240,最高,6,,,2,1,4,,,,,,,
1241,autofight_1241,最低,6,,,2,2,4,,,,,,,
1250,autofight_1250,最高,6,,,2,1,21,,,,,,,
1251,autofight_1251,最低,6,,,2,2,21,,,,,,,
1260,autofight_1260,最高,6,,,2,1,6,,,,,,,
1261,autofight_1261,最低,6,,,2,2,6,,,,,,,
1270,autofight_1270,最高,6,,,2,1,102,,,,,,,
1271,autofight_1271,最低,6,,,2,2,102,,,,,,,
1280,autofight_1280,最高,6,,,2,1,103,,,,,,,
1281,autofight_1281,最低,6,,,2,2,103,,,,,,,
1290,autofight_1290,最高,6,,,2,1,105,,,,,,,
1291,autofight_1291,最低,6,,,2,2,105,,,,,,,
1300,autofight_1300,最高,6,,,2,1,7,,,,,,,
1301,autofight_1301,最低,6,,,2,2,7,,,,,,,
1310,autofight_1310,最高,6,,,2,1,8,,,,,,,
1311,autofight_1311,最低,6,,,2,2,8,,,,,,,
30001,autofight_30001,当前生命百分比,6,"300001,3000001",,,,,,30001,,,,,
30002,autofight_30002,当前护盾百分比,6,"300002,3000002",,,,,,30002,,,,,
30003,autofight_30003,当前弱点百分比,6,"300003,3000003",,,,,,30003,,,,,
