Level,Condition,Reward
1,"3003,10",501
2,"3003,180",501
3,"3003,270",501
4,"3003,360",501
5,"3003,450",501
6,"3003,540",501
7,"3003,630",501
8,"3003,720",501
9,"3003,810",501
10,"3003,900",501
11,"3003,990",501
12,"3003,1080",501
13,"3003,1170",501
14,"3003,1260",501
15,"3003,1350",501
16,"3003,1440",501
17,"3003,1530",501
18,"3003,1620",501
19,"3003,1710",501
20,"3003,1800",501
21,"3003,1890",501
22,"3003,1980",501
23,"3003,2070",501
24,"3003,2160",501
25,"3003,2250",501
26,"3003,2340",501
27,"3003,2430",501
28,"3003,2520",501
29,"3003,2610",501
30,"3003,2700",501
31,"3003,2790",501
32,"3003,2880",501
33,"3003,2970",501
34,"3003,3060",501
35,"3003,3150",501
36,"3003,3240",501
37,"3003,3330",501
38,"3003,3420",501
39,"3003,3510",501
40,"3003,3600",501
41,"3003,3690",501
42,"3003,3780",501
43,"3003,3870",501
44,"3003,3960",501
45,"3003,4050",501
46,"3003,4140",501
47,"3003,4230",501
48,"3003,4320",501
49,"3003,4410",501
50,"3003,4500",501
51,"3003,4700",501
52,"3003,4900",501
53,"3003,5100",501
54,"3003,5300",501
55,"3003,5500",501
56,"3003,5700",501
57,"3003,5900",501
58,"3003,6100",501
59,"3003,6300",501
60,"3003,6500",501
