ID,,RewardText,type,ShowType,DropId,Weight,Condtion,Items,ItemWeights,ReplaceIDs
1,初级掉落1种奖励,Kuroro_1101,1,0,60101,1000,,,,
2,初级掉落1种奖励,Kuroro_1102,1,0,60101,1000,,,,
3,初级掉落1种奖励,Kuroro_1103,1,0,60101,1000,,,,
4,初级掉落1种奖励,Kuroro_1104,1,0,60101,1000,,,,
5,初级掉落1种奖励,Kuroro_1105,1,0,60101,1000,,,,
6,初级掉落1种奖励,Kuroro_1106,1,0,60101,1000,,,,
7,初级掉落1种奖励,Kuroro_1107,1,0,60101,1000,,,,
8,初级掉落1种奖励,Kuroro_1108,1,0,60101,1000,,,,
9,初级掉落1种奖励,Kuroro_1109,1,0,60101,1000,,,,
10,初级掉落1种奖励,Kuroro_1110,1,0,60101,1000,,,,
11,初级掉落1种奖励,Kuroro_1111,1,0,60101,1000,,,,
12,初级掉落1种奖励,Kuroro_1112,1,0,60101,1000,,,,
13,初级掉落1种奖励,Kuroro_1113,1,0,60101,1000,,,,
14,初级掉落1种奖励,Kuroro_1114,1,0,60101,1000,,,,
15,初级掉落1种奖励,Kuroro_1115,1,0,60101,1000,,,,
16,初级掉落1种奖励,Kuroro_1116,1,0,60101,1000,,,,
17,初级掉落1种奖励,Kuroro_1117,1,0,60101,1000,,,,
18,初级掉落1种奖励,Kuroro_1118,1,0,60101,1000,,,,
19,初级掉落1种奖励,Kuroro_1119,1,0,60101,1000,,,,
20,初级掉落1种奖励,Kuroro_1120,1,0,60101,1000,,,,
21,初级掉落1种奖励,Kuroro_1121,1,0,60101,1000,,,,
22,初级掉落1种奖励,Kuroro_1122,1,0,60101,1000,,,,
23,初级掉落1种奖励,Kuroro_1123,1,0,60101,1000,,,,
24,初级掉落1种奖励,Kuroro_1124,1,0,60101,1000,,,,
25,初级掉落1种奖励,Kuroro_1125,1,0,60101,1000,,,,
26,初级掉落1种奖励,Kuroro_1126,1,0,60101,1000,,,,
27,初级掉落1种奖励,Kuroro_1127,1,0,60101,1000,,,,
28,初级掉落1种奖励,Kuroro_1128,1,0,60101,1000,,,,
29,初级掉落1种奖励,Kuroro_1129,1,0,60101,1000,,,,
30,初级掉落1种奖励,Kuroro_1130,1,0,60101,1000,,,,
31,初级掉落2种奖励,Kuroro_1201,1,0,60102,1000,,,,
32,初级掉落2种奖励,Kuroro_1202,1,0,60102,1000,,,,
33,初级掉落2种奖励,Kuroro_1203,1,0,60102,1000,,,,
34,初级掉落2种奖励,Kuroro_1204,1,0,60102,1000,,,,
35,初级掉落2种奖励,Kuroro_1205,1,0,60102,1000,,,,
36,初级掉落2种奖励,Kuroro_1206,1,0,60102,1000,,,,
37,初级掉落2种奖励,Kuroro_1207,1,0,60102,1000,,,,
38,初级掉落2种奖励,Kuroro_1208,1,0,60102,1000,,,,
39,初级掉落2种奖励,Kuroro_1209,1,0,60102,1000,,,,
40,初级掉落2种奖励,Kuroro_1210,1,0,60102,1000,,,,
41,初级掉落2种奖励,Kuroro_1211,1,0,60102,1000,,,,
42,初级掉落2种奖励,Kuroro_1212,1,0,60102,1000,,,,
43,初级掉落2种奖励,Kuroro_1213,1,0,60102,1000,,,,
44,初级掉落2种奖励,Kuroro_1214,1,0,60102,1000,,,,
45,初级掉落2种奖励,Kuroro_1215,1,0,60102,1000,,,,
46,初级掉落3种奖励,Kuroro_1301,1,0,60103,1000,,,,
47,初级掉落3种奖励,Kuroro_1302,1,0,60103,1000,,,,
48,初级掉落3种奖励,Kuroro_1303,1,0,60103,1000,,,,
49,初级掉落3种奖励,Kuroro_1304,1,0,60103,1000,,,,
50,初级掉落3种奖励,Kuroro_1305,1,0,60103,1000,,,,
51,初级掉落3种奖励,Kuroro_1306,1,0,60103,1000,,,,
52,初级掉落3种奖励,Kuroro_1307,1,0,60103,1000,,,,
53,初级掉落3种奖励,Kuroro_1308,1,0,60103,1000,,,,
54,初级掉落3种奖励,Kuroro_1309,1,0,60103,1000,,,,
55,初级掉落3种奖励,Kuroro_1310,1,0,60103,1000,,,,
56,初级掉落3种奖励,Kuroro_1311,1,0,60103,1000,,,,
57,初级掉落3种奖励,Kuroro_1312,1,0,60103,1000,,,,
58,初级掉落3种奖励,Kuroro_1313,1,0,60103,1000,,,,
59,初级掉落3种奖励,Kuroro_1314,1,0,60103,1000,,,,
60,初级掉落3种奖励,Kuroro_1315,1,0,60103,1000,,,,
61,中级掉落2种奖励,Kuroro_1201,1,1,60104,600,,,,
62,中级掉落2种奖励,Kuroro_1202,1,1,60104,600,,,,
63,中级掉落2种奖励,Kuroro_1203,1,1,60104,600,,,,
64,中级掉落2种奖励,Kuroro_1204,1,1,60104,600,,,,
65,中级掉落2种奖励,Kuroro_1205,1,1,60104,600,,,,
66,中级掉落2种奖励,Kuroro_1206,1,1,60104,600,,,,
67,中级掉落2种奖励,Kuroro_1207,1,1,60104,600,,,,
68,中级掉落2种奖励,Kuroro_1208,1,1,60104,600,,,,
69,中级掉落2种奖励,Kuroro_1209,1,1,60104,600,,,,
70,中级掉落2种奖励,Kuroro_1210,1,1,60104,600,,,,
71,中级掉落2种奖励,Kuroro_1211,1,1,60104,600,,,,
72,中级掉落2种奖励,Kuroro_1212,1,1,60104,600,,,,
73,中级掉落2种奖励,Kuroro_1213,1,1,60104,600,,,,
74,中级掉落2种奖励,Kuroro_1214,1,1,60104,600,,,,
75,中级掉落2种奖励,Kuroro_1215,1,1,60104,600,,,,
76,中级掉落3种奖励,Kuroro_1301,1,1,60105,600,,,,
77,中级掉落3种奖励,Kuroro_1302,1,1,60105,600,,,,
78,中级掉落3种奖励,Kuroro_1303,1,1,60105,600,,,,
79,中级掉落3种奖励,Kuroro_1304,1,1,60105,600,,,,
