Id,RoleId,,,RoleSign,HeadSmall,HeadBig,HeadTeam,Pic,Spine,PlotPic,Model,ClickSpine,Color,BackGround,ItemId,Coordinate,Cv,Artist
3000000,3000000,莉莉娅,原皮,ui_zd_baodou_3900000,role_test,role_test,role_test,3000000_lihui,0,liliya2/ui_jq_lihui_liliya2_SkeletonData,3000000,0,1f9cb2,,,,,
3000001,3000001,律,原皮,ui_zd_baodou_3900001,head_3000001_1,ui_yc_mn_z_all_34000001,head_3000001_2,3000001_lihui,0,lv/ui_jq_lihui_lv_SkeletonData,3000001,0,1f9cb2,yc_3000001_2,3000001,,,
3000002,3000002,克萝萝,原皮,ui_zd_baodou_3900002,head_3000002_1,ui_yc_mn_z_all_34000002,head_3000002_2,3000002_lihui,0,keluoluo/ui_jq_lihui_keluoluo_SkeletonData,3000002,0,b52b2b,yc_3000002_2,3000002,,,
3000003,3000003,黑神月咏,原皮,ui_zd_baodou_3900003,head_3000003_1,ui_yc_mn_z_all_34000003,head_3000003_2,3000003_lihui,0,heishenyueyong/ui_jq_lihui_heishenyueyong_SkeletonData,3000003,0,946b73,yc_3000003_2,3000003,,,
3000004,3000004,安洁,原皮,ui_zd_baodou_3900004,head_3000004_1,ui_yc_mn_z_all_34000004,head_3000004_2,3000004_lihui,0,anjie/ui_jq_lihui_anjie_SkeletonData,3000004,0,146f91,yc_3000004_2,3000004,,,
3000005,3000005,米娅,原皮,ui_zd_baodou_3900005,head_3000005_1,ui_yc_mn_z_all_34000005,head_3000005_2,3000005_lihui,0,miya/ui_jq_lihui_miya_SkeletonData,3000005,0,913712,yc_3000005_2,3000005,,,
3000006,3000006,玛莎,原皮,ui_zd_baodou_3900006,head_3000006_1,ui_yc_mn_z_all_34000006,head_3000006_2,3000006_lihui,3000006_spine,masha/ui_jq_lihui_masha_SkeletonData,3000006,0,4a75ff,yc_3000006_2,3000006,,,
3013001,3013001,格蕾,原皮,wenzhang_3013001_icon,head_3013001_1,head_3013001_3,head_3013001_2,3013001_lihui,0,gelei/ui_jq_lihui_gelei_SkeletonData,3013001,0,,yc_3013001_1,3013001,,,
3013007,3013007,菲莉希亚,原皮,wenzhang_3013007_icon,head_3013007_1,head_3013007_3,head_3013007_2,3013007_lihui,0,feilixiya/ui_jq_lihui_feilixiya_SkeletonData,3013007,0,,yc_3013007_1,3013007,,,
3013008,3013008,梅露特,原皮,wenzhang_3013008_icon,head_3013008_1,head_3013008_3,head_3013008_2,3013008_lihui,0,meilute/ui_jq_lihui_meilute_SkeletonData,3013008,0,,yc_3013008_1,3013008,,,
3013009,3013009,奈奈芙,原皮,wenzhang_3013009_icon,head_3013009_1,head_3013009_3,head_3013009_2,3013009_lihui,3013009_spine,nainaifu/ui_jq_lihui_nainaifu_SkeletonData,3013009,0,,yc_3013009_1,3013009,,,
3013014,3013014,玛瑙,原皮,wenzhang_3013014_icon,head_3013014_1,head_3013014_3,head_3013014_2,3013014_lihui,0,manao/ui_jq_lihui_manao_SkeletonData,3013014,0,,yc_3013014_1,3013014,,,
3013017,3013017,波斯菊,原皮,wenzhang_3013017_icon,head_3013017_1,head_3013017_3,head_3013017_2,3013017_lihui,0,,3013017,0,,yc_3013017_1,3013017,,,
3013018,3013018,爱琳,原皮,wenzhang_3013018_icon,head_3013018_1,head_3013018_3,head_3013018_2,3013018_lihui,0,ailin/ui_jq_lihui_ailin_SkeletonData,3013018,0,,yc_3013018_1,3013018,,,
3013020,3013020,维达,原皮,wenzhang_3013020_icon,head_3013020_1,head_3013020_3,head_3013020_2,3013020_lihui,0,weida/ui_jq_lihui_weida_SkeletonData,3013020,0,,yc_3013020_1,3013020,,,
3013022,3013022,莱拉,原皮,wenzhang_3013022_icon,head_3013022_1,head_3013022_3,head_3013022_2,3013022_lihui,0,laila/ui_jq_lihui_laila_SkeletonData,3013022,0,,yc_3013022_1,3013022,,,
3013023,3013023,芙洛拉,原皮,wenzhang_3013023_icon,head_3013023_1,head_3013023_3,head_3013023_2,3013023_lihui,0,fuluola/ui_jq_lihui_fuluola_SkeletonData,3013023,0,,yc_3013023_1,3013023,,,
3013024,,希露德(未完成),原皮,wenzhang_3013024_icon,0,head_3013024_3,0,0,0,0,0,0,,0,3013024,,,
3013025,3013025,多萝西,原皮,wenzhang_3013025_icon,head_3013025_1,head_3013025_3,head_3013025_2,3013025_lihui,0,duoluoxi/ui_jq_lihui_duoluoxi_SkeletonData,3013025,0,,yc_3013025_1,3013025,,,
3014003,3014003,焰心,原皮,wenzhang_3014003_icon,head_3014003_1,head_3014003_3,head_3014003_2,3014003_lihui,0,yanxin/ui_jq_lihui_yanxin_SkeletonData,3014003,0,,yc_3014003_1,3014003,,,
