Id,Order,Type,GuideTip,Shifting,,,,,,,GuideDes,,,,,,,Desc,,UiName,ButtonStart,Cursor,Rotate,CursorDes
1001,1,1,"1616,96","656,0",656,0,0,0,656,0,"-600,200",-600,200,600,0,0,200,guide_main_1001,欢迎侍主来到商店，侍主可以通过这里切换商店,Shop_Main,ShopType/Layout_ShopType/Btn_Shop10,0,0,0
1002,1,1,"328,96","0,0",0,0,0,0,0,0,"400,200",400,200,,,400,200,guide_main_1002,推荐里展示超值道具,Shop_Main,ShopType/Layout_ShopType/Btn_Shop10,0,0,0
1003,1,1,"328,96","0,0",0,0,0,0,0,0,"350,200",350,200,,,350,200,guide_main_1003,结晶商店里可以购买到秩序结晶,Shop_Main,ShopType/Layout_ShopType/Btn_Shop11,0,0,0
1004,1,1,"328,96","0,0",0,0,0,0,0,0,"250,200",250,200,,,250,200,guide_main_1004,礼包商店可以购买到礼包,Shop_Main,ShopType/Layout_ShopType/Btn_Shop12,0,0,0
1005,1,1,"328,96","0,0",0,0,0,0,0,0,"-550,200",-550,200,550,,,200,guide_main_1005,装扮商店可以买到全新的星痕外观,Shop_Main,ShopType/Layout_ShopType/Btn_Shop13,0,0,0
1006,1,1,"328,96","0,0",0,0,0,0,0,0,"-600,200",-600,200,600,,0,200,guide_main_1006,兑换商店可以获得道具、材料等稀有物品,Shop_Main,ShopType/Layout_ShopType/Btn_Shop14,0,0,0
1007,1,1,"90,50","0,0",0,0,0,0,0,0,"600,-80",600,-80,0,150,600,70,guide_main_1007,点击商店规则按钮可以再次查看介绍,Shop_Main,naviRoot/NaviBar/OtherLayout/btnGuide,0,0,0
1101,2,1,"500,180","280,100",280,100,0,0,280,100,"500,150",500,150,0,0,500,150,guide_main_1101,这里是星痕的基础信息显示,RolePetAttr_Main,Root/LeftFit/infoRoot,0,0,0
1102,2,1,"500,100","260,30",260,30,0,0,260,30,"500,300",500,300,0,0,500,300,guide_main_1102,星痕的好感度,RolePetAttr_Main,Root/LeftFit/fondness,0,0,0
1103,2,1,"625,170","350,80",350,80,0,0,350,80,"700,255",700,255,0,0,700,255,guide_main_1103,星痕的属性信息，点击[详情]按钮可以查看详细信息,RolePetAttr_Main,Root/LeftFit/attrRoot,0,0,0
1104,2,1,"160,190","60,100",60,100,0,0,60,100,"500,250",500,250,0,0,500,250,guide_main_1104,这里是星痕的职阶信息,RolePetAttr_Main,Root/downRoot/raceRoot,0,0,0
1105,2,1,"270,190","125,100",125,100,0,0,125,100,"700,250",700,250,0,0,700,250,guide_main_1105,这里是星痕的等级信息，可以点击进行星痕的升级操作,RolePetAttr_Main,Root/downRoot/LevelRoot,0,0,0
1106,2,1,"270,190","125,100",125,100,480,0,605,100,"300,255",300,255,0,0,300,255,guide_main_1106,星痕觉醒等级,RolePetAttr_Main,Root/downRoot/awakeRoot,0,0,0
1107,2,1,"290,190","-30,25",-30,25,30,0,0,25,"-450,255",-450,255,450,0,0,255,guide_main_1107,星痕的突破等级,RolePetAttr_Main,Root/downRoot/breakRoot/GospelTrainIcon,0,0,0
1108,2,1,"610,190","-12,12",-12,12,12,0,0,12,"-500,255",-500,255,500,0,0,255,guide_main_1108,星痕的技能,RolePetAttr_Main,Root/downRoot/skillRoot/RolePetSkillBar,0,0,0
1109,2,1,"172,580","-85,33",-85,33,100,0,15,33,"-700,0",-700,0,700,0,0,0,guide_main_1109,点击可切换立绘和模型的显示,RolePetAttr_Main,Root/changeModel,0,0,0
1201,3,1,"102,800","65,-400",65,-400,0,400,65,0,"700,0",700,0,0,0,700,0,guide_main_1201,点击魔女头像可以快速切换魔女,Role_Main,root/Left/RoleList_Item/WitchListBg,0,0,0
1202,3,1,"550,150","0,19",0,19,0,0,0,19,"500,300",500,300,0,0,500,300,guide_main_1202,可以通过这里设置魔女外观、符文,Role_Main,root/Left/bg_di (1),0,0,0
1203,3,1,"1000,200","10,0",10,0,0,0,10,0,"-500,-200",-500,-200,500,200,0,0,guide_main_1203,魔女的等级、名称，以及职业标签,Role_Main,root/Right/profession,0,0,0
1205,3,1,"890,280","0,65",0,65,0,35,0,100,"-700,-300",-700,-300,700,300,0,0,guide_main_1205,魔女的当前属性信息，可以点击查看详细信息,Role_Main,root/Right/info,0,0,0
1206,3,1,"890,200","0,-22",0,-22,0,22,0,0,"-700,-300",-700,-300,700,300,0,0,guide_main_1206,魔女的技能展示，点击可查看技能详情,Role_Main,root/Right/info/skill,0,0,0
1207,3,1,"800,155","-130,10",-130,10,130,0,0,10,"-500,200",-500,200,500,0,0,200,guide_main_1207,魔女携带的星痕显示,Role_Main,root/Right/team,0,0,0
1208,999,1,"135,135","0,0",0,0,0,0,0,0,"-700,200",-700,200,700,0,0,200,guide_main_1208,点击设置携带星痕编队,Role_Main,root/Right/team/teamBtn,0,0,0
1209,3,1,"172,580","-90,15",-90,15,90,0,0,15,"-700,0",-700,0,700,0,0,0,guide_main_1209,这里切换魔女2D/3D形象,Role_Main,root/Right/changeModel,0,0,0
1210,3,1,"260,100","0,0",0,0,0,0,0,0,"-600,-100",-600,-100,600,100,0,0,guide_main_1204,点击进入魔女的职业养成界面,Role_Main,root/Right/profession/infoBtn,0,0,0
1301,4,1,"0,790","0,60",0,60,0,0,0,60,"500,-500",500,-500,0,500,500,0,guide_main_1301,可以通过召唤获得新的星痕,Summon_Main,Anc_SummonPool/SummonPool_Normal/bg,0,0,0
1302,4,1,"250,60","0,5",0,5,0,0,0,5,"400,200",400,200,0,0,400,200,guide_main_1302,点击这里查看召唤详情,Summon_Main,Anc_SummonPool/SummonPool_New/Con_Left/showDetail,0,0,0
1303,4,1,"870,120","-435,-7",-435,-7,435,12,0,5,"-600,200",-600,200,600,0,0,200,guide_main_1303,点击这里召唤星痕,Summon_Main,Cont_DrawBtn,0,0,0
1304,4,1,"1000,175","500,100",500,100,0,0,500,100,"500,300",500,300,0,0,500,300,guide_main_1304,这里显示的是当前开放的星痕卡池,Summon_Main,LeftDown,0,0,0
