Id,Name,,TypeName,,ParentRankId,ActivityType,ScoreName,,CheckCondition,UpdateMode,ConditionId1,ConditionId2,SortType,RefreshType,RankLimitCount,IsTimeRank,IsGradeRank,IsAreaRank,Subject,DataShow,RankPartitionType,RankPartition,RewardItem,RankPartition1,RewardItem1,NonRankingReward,Mail,Max,DateMax
101,ui_rank_name_1,幻梦之境,ui_rank_typename_101,总排行,101,1,ui_rank_scorename_1,积分,,,70005,0,1,4,99,0,0,0,0,"1,3,5",1,"1,1;2,2;3,3;4,10;11,50;51,100;101,200;201,999","2801,10,1006222,100,9030,1;2801,10,1006222,100,9031,1;2801,10,1006222,100,9032,1;2801,8,1006222,80;2801,5,1006222,60;2801,3,1006222,50;2801,2,1006222,40;2801,1,1006222,20",,,,702,200,1000
102,ui_rank_name_1,幻梦之境,ui_rank_typename_102,关卡1排行,101,1,ui_rank_scorename_1,积分,,,70002,0,1,4,99,0,0,1,0,"1,3,5",1,,,,,,,200,1000
103,ui_rank_name_1,幻梦之境,ui_rank_typename_103,关卡2排行,101,1,ui_rank_scorename_1,积分,,,70003,0,1,4,99,0,0,1,0,"1,3,5",1,,,,,,,200,1000
104,ui_rank_name_1,幻梦之境,ui_rank_typename_104,关卡3排行,101,1,ui_rank_scorename_1,积分,,,70004,0,1,4,99,0,0,1,0,"1,3,5",1,,,,,,,200,1000
201,ui_rank_name_1,幻梦之境,ui_rank_typename_201,总排行,201,1,ui_rank_scorename_1,积分,,,70009,0,1,4,-1,0,0,0,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
202,ui_rank_name_1,幻梦之境,ui_rank_typename_202,关卡1排行,201,1,ui_rank_scorename_1,积分,,,70006,0,1,4,-1,0,1,1,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
203,ui_rank_name_1,幻梦之境,ui_rank_typename_203,关卡2排行,201,1,ui_rank_scorename_1,积分,,,70007,0,1,4,-1,0,1,1,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
204,ui_rank_name_1,幻梦之境,ui_rank_typename_204,关卡3排行,201,1,ui_rank_scorename_1,积分,,,70008,0,1,4,-1,0,1,1,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
301,ui_rank_name_1,幻梦之境,ui_rank_typename_301,总排行,301,1,ui_rank_scorename_1,积分,,,70013,0,1,4,-1,0,0,0,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
302,ui_rank_name_1,幻梦之境,ui_rank_typename_302,关卡1排行,301,1,ui_rank_scorename_1,积分,,,70010,0,1,4,-1,0,1,1,0,"1,3",,"1,1;2,2;3,3;4,10;11,50","1000002,200;1000002,150;1000002,100;1000002,50;1000002,25",,,,702,200,1000
