CardId,,Type,UnlockCondition,CardRank,CardClass,ReleaseQuantity,CardType,SeriesNumber,NumberedBox,Offset,Offset2,BinderCard,BinderCardBack,CardBottom,CardSpine,SpineOpen,CardBottomEffect,CardSurface,CardScale,CardOffset,SpineRotate,CardRasterEffect,ShiningEffect,LightLEffect,CardBack,NumberedBoxGlow ,FrameBloom,FrameGlow,BackGlow,RoleGlow,DropBackEffect,DropLightLeffect
1,莉莉娅立绘版（创号自带卡）此卡不要做spine版本，因为原本没有spine，要做spine相当于从头做一个星痕spine,2,,41,0,,,T00,,,"-0.303,0.721,0",CollectTradingCard/card_3000000,CollectTradingCard/ui_card_di,CardBottom/card_3dbackground_green,0,0,,lihui/3000000_lihui,1,,,,,,CardBack/card_back_sr,0.5,0.8,0,0.7,0.9,,
10200012,律（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3000001_zh_01,CollectTradingCard/ui_card_di_3000001,CardBottom/card_3dbackground_green,0,0,,CardPackage/CardSpecial/card_3000001_zh_01_D,1.1,"-0.019,-0.189,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10200022,克萝萝（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3000002_zh_01,CollectTradingCard/ui_card_di_3000002,CardBottom/card_3dbackground_orange,0,0,,CardPackage/CardSpecial/card_3000002_zh_01_D,0.931,"0.006,-0.019,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10200032,黑神月咏（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3000003_zh_01,CollectTradingCard/ui_card_di_3000003,CardBottom/card_3dbackground_pink,0,0,,CardPackage/CardSpecial/card_3000003_zh_01_D,1.155,"-0.037,-0.227,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10200042,安洁（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3000004_zh_01,CollectTradingCard/ui_card_di_3000004,CardBottom/card_3dbackground_blue,0,0,,CardPackage/CardSpecial/card_3000004_zh_01_D,1.15,"0,-0.255,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10200052,米娅（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3000005_zh_01,CollectTradingCard/ui_card_di_3000005,CardBottom/card_3dbackground_red,0,0,,CardPackage/CardSpecial/card_3000005_zh_01_D,1,"0.019,-0.156,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10240231,神光,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3014023,CollectTradingCard/ui_card_di,CardBottom/card_bottom_01,0,0,,lihui/3014023_lihui,1,"0,0.11,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10240232,神光（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000;8,40000;9,40000;10,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3014023_zh,CollectTradingCard/ui_card_di_3014023,CardBottom/card_3dbackground_red,0,0,,CardPackage/CardSpecial/card_3014023_zh_D,1.5,"0.015,-0.345,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10261871,异邦波斯菊,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3016187,CollectTradingCard/ui_card_di,CardBottom/card_bottom_01,0,0,,lihui/3016187_lihui,1.75692,"0,0.093,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
10261872,异邦波斯菊（站绘）,1,,2,1,"0,40000;2,40000;3,40000;4,40000;5,40000",1,T01,,,"-0.303,0.721,0",CollectTradingCard/card_3016187_zh,CollectTradingCard/ui_card_di_3016187,CardBottom/card_3dbackground_pink,0,0,,CardPackage/CardSpecial/card_3016187_zh_D,1.32,"-0.026,-0.146,0",,,,,CardBack/card_back_n,0.5,1,1,0.95,0.95,,
