Id,RoleLevel,RoleBreak,RoleLevelUpUseItem,EquipLevelUpUseItem,EquipBreakUp
1,,,2,100,0
2,,,2,300 ,0
3,,,2,906 ,0
4,,,2,1512 ,0
5,,,2,2118 ,0
6,,,3,2724 ,0
7,,,3,3331 ,0
8,,,3,3937 ,0
9,,,3,4543 ,0
10,,,3,5149 ,0
11,,,5,5755 ,0
12,,,5,6361 ,0
13,,,5,6967 ,0
14,,,5,7573 ,0
15,,,5,8180 ,0
16,,,8,8786 ,0
17,,,8,9392 ,0
18,,,8,9998 ,0
19,,,8,10604 ,0
20,,,8,11210 ,0
21,,,12,11816 ,0
22,,,12,12422 ,0
23,,,12,13029 ,0
24,,,12,13635 ,0
25,,,12,14241 ,0
26,,,17,14847 ,0
27,,,17,15453 ,0
28,,,17,16059 ,0
29,,,17,16665 ,0
30,,,17,17271 ,0
31,,,25,17878 ,0
32,,,25,18484 ,0
33,,,25,19090 ,0
34,,,25,19696 ,0
35,,,25,20302 ,0
36,,,37,20908 ,0
37,,,37,21514 ,0
38,,,37,22120 ,0
39,,,37,22727 ,0
40,,,37,23333 ,0
41,,,54,23939 ,0
42,,,54,24545 ,0
43,,,54,25151 ,0
44,,,54,25757 ,0
45,,,54,26363 ,0
46,,,79,26969 ,0
47,,,79,27576 ,0
48,,,79,28182 ,0
49,,,79,28788 ,0
50,,,79,30000 ,0
51,,,116,260100,0
52,,,116,270400,0
53,,,116,280900,0
54,,,116,291600,0
55,,,116,302500,0
56,,,170,313600,0
57,,,170,324900,0
58,,,170,336400,0
59,,,170,348100,0
60,,,170,360000,0
61,,,249,372100,0
62,,,249,384400,0
63,,,249,396900,0
64,,,249,409600,0
65,,,249,422500,0
66,,,365,435600,0
67,,,365,448900,0
68,,,365,462400,0
69,,,365,476100,0
70,,,365,490000,0
71,,,535,504100,0
72,,,535,518400,0
73,,,535,532900,0
74,,,535,547600,0
75,,,535,562500,0
76,,,784,577600,0
77,,,784,592900,0
78,,,784,608400,0
79,,,784,624100,0
80,,,784,640000,0
81,,,1149,656100,0
82,,,1149,672400,0
83,,,1149,688900,0
84,,,1149,705600,0
85,,,1149,722500,0
86,,,1684,739600,0
87,,,1684,756900,0
88,,,1684,774400,0
89,,,1684,792100,0
90,,,1684,810000,0
91,,,2468,828100,0
92,,,2468,846400,0
93,,,2468,864900,0
94,,,2468,883600,0
95,,,2468,902500,0
96,,,3617,921600,0
97,,,3617,940900,0
98,,,3617,960400,0
99,,,3617,980100,0
100,,,3617,1000000,0
101,,,5301,1020100,0
102,,,5301,1040400,0
103,,,5301,1060900,0
104,,,5301,1081600,0
105,,,5301,1102500,0
106,,,7769,1123600,0
107,,,7769,1144900,0
108,,,7769,1166400,0
109,,,7769,1188100,0
110,,,7769,1210000,0
111,,,11386,1232100,0
112,,,11386,1254400,0
113,,,11386,1276900,0
114,,,11386,1299600,0
115,,,11386,1322500,0
116,,,16687,1345600,0
117,,,16687,1368900,0
118,,,16687,1392400,0
119,,,16687,1416100,0
120,,,16687,1440000,0
121,,,24456,1464100,0
122,,,24456,1488400,0
123,,,24456,1512900,0
124,,,24456,1537600,0
125,,,24456,1562500,0
126,,,35842,1587600,0
127,,,35842,1612900,0
128,,,35842,1638400,0
129,,,35842,1664100,0
130,,,35842,1690000,0
131,,,52529,1716100,0
132,,,52529,1742400,0
133,,,52529,1768900,0
134,,,52529,1795600,0
135,,,52529,1822500,0
136,,,76985,1849600,0
137,,,76985,1876900,0
138,,,76985,1904400,0
139,,,76985,1932100,0
140,,,76985,1960000,0
141,,,112827,1988100,0
142,,,112827,2016400,0
143,,,112827,2044900,0
144,,,112827,2073600,0
145,,,112827,2102500,0
146,,,165356,2131600,0
147,,,165356,2160900,0
148,,,165356,2190400,0
149,,,165356,2220100,0
150,,,165356,2250000,0
151,,,242341,2280100,0
152,,,242341,2310400,0
153,,,242341,2340900,0
154,,,242341,2371600,0
155,,,242341,2402500,0
156,,,355168,2433600,0
157,,,355168,2464900,0
158,,,355168,2496400,0
159,,,355168,2528100,0
160,,,355168,2560000,0
161,,,520524,2592100,0
162,,,520524,2624400,0
163,,,520524,2656900,0
164,,,520524,2689600,0
165,,,520524,2722500,0
166,,,762865,2755600,0
167,,,762865,2788900,0
168,,,762865,2822400,0
169,,,762865,2856100,0
170,,,762865,2890000,0
171,,,1118033,2924100,0
172,,,1118033,2958400,0
173,,,1118033,2992900,0
174,,,1118033,3027600,0
175,,,1118033,3062500,0
176,,,1638557,3097600,0
177,,,1638557,3132900,0
178,,,1638557,3168400,0
179,,,1638557,3204100,0
180,,,1638557,3240000,0
