TalentId,Id,TalentRank,PriorTalent,UiShow,ConditionId,CostItem,AttrRefixType,LevelUp,Icon,Icontype,Des
1001,1,1,0,"1,1","29999,0","1006710,10","50109,50115",1,ui_zjtf_jn_1_1,0,SkillDes_8003001
1002,1,1,1001,"2,0","29999,0","1006710,20",50102,1,ui_zjtf_sx_sm_1,1,
1003,1,1,1002,"3,0","29999,0","1006710,20",50101,1,ui_zjtf_sx_fy_1,1,
1004,1,1,1003,"4,0","29999,0","1006710,40",50109,1,ui_zjtf_jn_1_2,0,
1005,1,1,1004,"5,0","29999,0","1006710,20",50104,1,ui_zjtf_sx_fy_1,1,
1006,1,1,1002,"6,0","29999,0","1006710,20",50100,1,ui_zjtf_sx_gj_1,1,
1007,1,1,1006,"7,0","29999,0","1006710,40",50115,1,ui_zjtf_jn_1_2,0,
1008,1,1,1007,"8,0","29999,0","1006710,20",50103,1,ui_zjtf_sx_gj_1,1,
1009,1,1,"1005,1008","9,0","29999,0","1006710,20",50105,1,ui_zjtf_sx_sm_1,1,
1010,1,1,1009,"10,1","29999,0","1006710,120",50110,1,ui_zjtf_jn_up_1,2,
1011,1,2,1010,"11,0","29999,30;29997,30","1006710,40",50105,1,ui_zjtf_sx_sm_1,1,
1012,1,2,1011,"12,0","29999,30;29997,30","1006710,40",50104,1,ui_zjtf_sx_fy_1,1,
1013,1,2,1012,"13,0","29999,30;29997,30","1006710,80",50109,1,ui_zjtf_jn_1_2,0,
1014,1,2,1013,"14,0","29999,30;29997,30","1006710,40",50104,1,ui_zjtf_sx_fy_1,1,
1015,1,2,1011,"15,0","29999,30;29997,30","1006710,120","50106,50107,50108",1,ui_zjtf_sx_gfx_1,1,
1016,1,2,1011,"16,0","29999,30;29997,30","1006710,40",50103,1,ui_zjtf_sx_gj_1,1,
1017,1,2,1016,"17,0","29999,30;29997,30","1006710,80",50115,1,ui_zjtf_jn_1_2,0,
1018,1,2,1017,"18,0","29999,30;29997,30","1006710,40",50103,1,ui_zjtf_sx_gj_1,1,
1019,1,2,"1014,1015,1018","19,0","29999,30;29997,30","1006710,40",50105,1,ui_zjtf_sx_sm_1,1,
1020,1,2,1019,"20,1","29999,30;29997,30","1006710,240",50111,1,ui_zjtf_jn_up_2,2,
1021,1,3,1020,"21,0","29999,90;29998,90","1006710,60",50105,1,ui_zjtf_sx_sm_1,1,
1022,1,3,1021,"22,0","29999,90;29998,90","1006710,60",50104,1,ui_zjtf_sx_fy_1,1,
1023,1,3,1022,"23,0","29999,90;29998,90","1006710,120",50109,1,ui_zjtf_jn_1_2,0,
1024,1,3,1023,"24,0","29999,90;29998,90","1006710,60",50104,1,ui_zjtf_sx_fy_1,1,
1025,1,3,1021,"25,0","29999,90;29998,90","1006710,120","50106,50107,50108",1,ui_zjtf_sx_gfx_1,1,
1026,1,3,1021,"26,0","29999,90;29998,90","1006710,60",50103,1,ui_zjtf_sx_gj_1,1,
1027,1,3,1026,"27,0","29999,90;29998,90","1006710,120",50115,1,ui_zjtf_jn_1_2,0,
1028,1,3,1027,"28,0","29999,90;29998,90","1006710,60",50103,1,ui_zjtf_sx_gj_1,1,
1029,1,3,"1024,1025,1028","29,0","29999,90;29998,90","1006710,60",50105,1,ui_zjtf_sx_sm_1,1,
1030,1,3,1029,"30,1","29999,90;29998,90","1006710,60","50112,50113,50114",30,ui_zjtf_sx_gfx_1,3,
2001,2,1,0,"1,1","29999,0","1006710,10","50209,50215",1,ui_zjtf_jn_2_1,0,SkillDes_8004001
2002,2,1,2001,"2,0","29999,0","1006710,20",50202,1,ui_zjtf_sx_sm_1,1,
2003,2,1,2002,"3,0","29999,0","1006710,20",50201,1,ui_zjtf_sx_fy_1,1,
2004,2,1,2003,"4,0","29999,0","1006710,40",50209,1,ui_zjtf_jn_2_2,0,
2005,2,1,2004,"5,0","29999,0","1006710,20",50204,1,ui_zjtf_sx_fy_1,1,
2006,2,1,2002,"6,0","29999,0","1006710,20",50200,1,ui_zjtf_sx_gj_1,1,
2007,2,1,2006,"7,0","29999,0","1006710,40",50215,1,ui_zjtf_jn_2_2,0,
2008,2,1,2007,"8,0","29999,0","1006710,20",50203,1,ui_zjtf_sx_gj_1,1,
2009,2,1,"2005,2008","9,0","29999,0","1006710,20",50205,1,ui_zjtf_sx_sm_1,1,
2010,2,1,2009,"10,1","29999,0","1006710,120",50210,1,ui_zjtf_jn_up_1,2,
2011,2,2,2010,"11,0","29999,30;29997,30","1006710,40",50205,1,ui_zjtf_sx_sm_1,1,
2012,2,2,2011,"12,0","29999,30;29997,30","1006710,40",50204,1,ui_zjtf_sx_fy_1,1,
2013,2,2,2012,"13,0","29999,30;29997,30","1006710,80",50209,1,ui_zjtf_jn_2_2,0,
2014,2,2,2013,"14,0","29999,30;29997,30","1006710,40",50204,1,ui_zjtf_sx_fy_1,1,
2015,2,2,2011,"15,0","29999,30;29997,30","1006710,120","50206,50207,50208",1,ui_zjtf_sx_gfx_1,1,
2016,2,2,2011,"16,0","29999,30;29997,30","1006710,40",50203,1,ui_zjtf_sx_gj_1,1,
2017,2,2,2016,"17,0","29999,30;29997,30","1006710,80",50215,1,ui_zjtf_jn_2_2,0,
2018,2,2,2017,"18,0","29999,30;29997,30","1006710,40",50203,1,ui_zjtf_sx_gj_1,1,
2019,2,2,"2014,2015,2018","19,0","29999,30;29997,30","1006710,40",50205,1,ui_zjtf_sx_sm_1,1,
2020,2,2,2019,"20,1","29999,30;29997,30","1006710,240",50211,1,ui_zjtf_jn_up_2,2,
2021,2,3,2020,"21,0","29999,90;29998,90","1006710,60",50205,1,ui_zjtf_sx_sm_1,1,
2022,2,3,2021,"22,0","29999,90;29998,90","1006710,60",50204,1,ui_zjtf_sx_fy_1,1,
2023,2,3,2022,"23,0","29999,90;29998,90","1006710,120",50209,1,ui_zjtf_jn_2_2,0,
2024,2,3,2023,"24,0","29999,90;29998,90","1006710,60",50204,1,ui_zjtf_sx_fy_1,1,
2025,2,3,2021,"25,0","29999,90;29998,90","1006710,120","50206,50207,50208",1,ui_zjtf_sx_gfx_1,1,
2026,2,3,2021,"26,0","29999,90;29998,90","1006710,60",50203,1,ui_zjtf_sx_gj_1,1,
2027,2,3,2026,"27,0","29999,90;29998,90","1006710,120",50215,1,ui_zjtf_jn_2_2,0,
2028,2,3,2027,"28,0","29999,90;29998,90","1006710,60",50203,1,ui_zjtf_sx_gj_1,1,
2029,2,3,"2024,2025,2028","29,0","29999,90;29998,90","1006710,60",50205,1,ui_zjtf_sx_sm_1,1,
2030,2,3,2029,"30,1","29999,90;29998,90","1006710,60","50212,50213,50214",30,ui_zjtf_sx_gfx_1,3,
3001,3,1,0,"1,1","29999,0","1006710,10","50309,50315",1,ui_zjtf_jn_3_1,0,SkillDes_8005001
3002,3,1,3001,"2,0","29999,0","1006710,20",50302,1,ui_zjtf_sx_sm_1,1,
3003,3,1,3002,"3,0","29999,0","1006710,20",50301,1,ui_zjtf_sx_fy_1,1,
3004,3,1,3003,"4,0","29999,0","1006710,40",50309,1,ui_zjtf_jn_3_2,0,
3005,3,1,3004,"5,0","29999,0","1006710,20",50304,1,ui_zjtf_sx_fy_1,1,
3006,3,1,3002,"6,0","29999,0","1006710,20",50300,1,ui_zjtf_sx_gj_1,1,
3007,3,1,3006,"7,0","29999,0","1006710,40",50315,1,ui_zjtf_jn_3_2,0,
3008,3,1,3007,"8,0","29999,0","1006710,20",50303,1,ui_zjtf_sx_gj_1,1,
3009,3,1,"3005,3008","9,0","29999,0","1006710,20",50305,1,ui_zjtf_sx_sm_1,1,
3010,3,1,3009,"10,1","29999,0","1006710,120",50310,1,ui_zjtf_jn_up_1,2,
3011,3,2,3010,"11,0","29999,30;29997,30","1006710,40",50305,1,ui_zjtf_sx_sm_1,1,
3012,3,2,3011,"12,0","29999,30;29997,30","1006710,40",50304,1,ui_zjtf_sx_fy_1,1,
3013,3,2,3012,"13,0","29999,30;29997,30","1006710,80",50309,1,ui_zjtf_jn_3_2,0,
3014,3,2,3013,"14,0","29999,30;29997,30","1006710,40",50304,1,ui_zjtf_sx_fy_1,1,
3015,3,2,3011,"15,0","29999,30;29997,30","1006710,120","50306,50307,50308",1,ui_zjtf_sx_gfx_1,1,
3016,3,2,3011,"16,0","29999,30;29997,30","1006710,40",50303,1,ui_zjtf_sx_gj_1,1,
3017,3,2,3016,"17,0","29999,30;29997,30","1006710,80",50315,1,ui_zjtf_jn_3_2,0,
3018,3,2,3017,"18,0","29999,30;29997,30","1006710,40",50303,1,ui_zjtf_sx_gj_1,1,
3019,3,2,"3014,3015,3018","19,0","29999,30;29997,30","1006710,40",50305,1,ui_zjtf_sx_sm_1,1,
3020,3,2,3019,"20,1","29999,30;29997,30","1006710,240",50311,1,ui_zjtf_jn_up_2,2,
3021,3,3,3020,"21,0","29999,90;29998,90","1006710,60",50305,1,ui_zjtf_sx_sm_1,1,
3022,3,3,3021,"22,0","29999,90;29998,90","1006710,60",50304,1,ui_zjtf_sx_fy_1,1,
3023,3,3,3022,"23,0","29999,90;29998,90","1006710,120",50309,1,ui_zjtf_jn_3_2,0,
3024,3,3,3023,"24,0","29999,90;29998,90","1006710,60",50304,1,ui_zjtf_sx_fy_1,1,
3025,3,3,3021,"25,0","29999,90;29998,90","1006710,120","50306,50307,50308",1,ui_zjtf_sx_gfx_1,1,
3026,3,3,3021,"26,0","29999,90;29998,90","1006710,60",50303,1,ui_zjtf_sx_gj_1,1,
3027,3,3,3026,"27,0","29999,90;29998,90","1006710,120",50315,1,ui_zjtf_jn_3_2,0,
3028,3,3,3027,"28,0","29999,90;29998,90","1006710,60",50303,1,ui_zjtf_sx_gj_1,1,
3029,3,3,"3024,3025,3028","29,0","29999,90;29998,90","1006710,60",50305,1,ui_zjtf_sx_sm_1,1,
3030,3,3,3029,"30,1","29999,90;29998,90","1006710,60","50312,50313,50314",30,ui_zjtf_sx_gfx_1,3,
4001,4,1,0,"1,1","29999,0","1006710,10","50409,50415",1,ui_zjtf_jn_4_1,0,SkillDes_8006001
4002,4,1,4001,"2,0","29999,0","1006710,20",50402,1,ui_zjtf_sx_sm_1,1,
4003,4,1,4002,"3,0","29999,0","1006710,20",50401,1,ui_zjtf_sx_fy_1,1,
4004,4,1,4003,"4,0","29999,0","1006710,40",50409,1,ui_zjtf_jn_4_2,0,
4005,4,1,4004,"5,0","29999,0","1006710,20",50404,1,ui_zjtf_sx_fy_1,1,
4006,4,1,4002,"6,0","29999,0","1006710,20",50400,1,ui_zjtf_sx_gj_1,1,
4007,4,1,4006,"7,0","29999,0","1006710,40",50415,1,ui_zjtf_jn_4_2,0,
4008,4,1,4007,"8,0","29999,0","1006710,20",50403,1,ui_zjtf_sx_gj_1,1,
4009,4,1,"4005,4008","9,0","29999,0","1006710,20",50405,1,ui_zjtf_sx_sm_1,1,
4010,4,1,4009,"10,1","29999,0","1006710,120",50410,1,ui_zjtf_jn_up_1,2,
4011,4,2,4010,"11,0","29999,30;29997,30","1006710,40",50405,1,ui_zjtf_sx_sm_1,1,
4012,4,2,4011,"12,0","29999,30;29997,30","1006710,40",50404,1,ui_zjtf_sx_fy_1,1,
4013,4,2,4012,"13,0","29999,30;29997,30","1006710,80",50409,1,ui_zjtf_jn_4_2,0,
4014,4,2,4013,"14,0","29999,30;29997,30","1006710,40",50404,1,ui_zjtf_sx_fy_1,1,
4015,4,2,4011,"15,0","29999,30;29997,30","1006710,120","50406,50407,50408",1,ui_zjtf_sx_gfx_1,1,
4016,4,2,4011,"16,0","29999,30;29997,30","1006710,40",50403,1,ui_zjtf_sx_gj_1,1,
4017,4,2,4016,"17,0","29999,30;29997,30","1006710,80",50415,1,ui_zjtf_jn_4_2,0,
4018,4,2,4017,"18,0","29999,30;29997,30","1006710,40",50403,1,ui_zjtf_sx_gj_1,1,
4019,4,2,"4014,4015,4018","19,0","29999,30;29997,30","1006710,40",50405,1,ui_zjtf_sx_sm_1,1,
4020,4,2,4019,"20,1","29999,30;29997,30","1006710,240",50411,1,ui_zjtf_jn_up_2,2,
