id,name,icon,features,job_tips,job_desc,job_color,job_qh_eft
1,role_jobname_1,3900001,role_jobfeatures_1,role_job_tips_1,role_job_desc_1,role_job_color_1,role_job_qh_eft_1
2,role_jobname_2,3900002,role_jobfeatures_2,role_job_tips_2,role_job_desc_2,role_job_color_2,role_job_qh_eft_2
3,role_jobname_3,3900003,role_jobfeatures_3,role_job_tips_3,role_job_desc_3,role_job_color_3,role_job_qh_eft_3
4,role_jobname_4,3900004,role_jobfeatures_4,role_job_tips_4,role_job_desc_4,role_job_color_4,role_job_qh_eft_4
5,role_jobname_5,3900005,role_jobfeatures_5,role_job_tips_5,role_job_desc_5,role_job_color_5,role_job_qh_eft_5
999,role_jobname_999,3900000,0,0,0,0,0
1001,role_jobname_1001,3890001_icon,0,0,0,0,0
1002,role_jobname_1002,3890002_icon,0,0,0,0,0
1003,role_jobname_1003,3890003_icon,0,0,0,0,0
1004,role_jobname_1004,3890004_icon,0,0,0,0,0
1005,role_jobname_1005,3890005_icon,0,0,0,0,0
1006,role_jobname_1006,3890006_icon,0,0,0,0,0
1007,role_jobname_1007,3890007_icon,0,0,0,0,0
1008,role_jobname_1008,3890008_icon,0,0,0,0,0
2001,role_jobname_2001,3890011_icon,0,0,0,0,0
2002,role_jobname_2002,3890012_icon,0,0,0,0,0
2003,role_jobname_2003,3890013_icon,0,0,0,0,0
2004,role_jobname_2004,3890014_icon,0,0,0,0,0
2005,role_jobname_2005,3890015_icon,0,0,0,0,0
2006,role_jobname_2006,3890016_icon,0,0,0,0,0
2007,role_jobname_2007,3890017_icon,0,0,0,0,0
2008,role_jobname_2008,3890018_icon,0,0,0,0,0
3001,role_jobname_3001,3890021_icon,0,0,0,0,0
3002,role_jobname_3002,3890022_icon,0,0,0,0,0
3003,role_jobname_3003,3890023_icon,0,0,0,0,0
3004,role_jobname_3004,3890024_icon,0,0,0,0,0
3005,role_jobname_3005,3890025_icon,0,0,0,0,0
3006,role_jobname_3006,3890026_icon,0,0,0,0,0
3007,role_jobname_3007,3890027_icon,0,0,0,0,0
3008,role_jobname_3008,3890028_icon,0,0,0,0,0
4001,role_jobname_4001,3890031_icon,0,0,0,0,0
4002,role_jobname_4002,3890032_icon,0,0,0,0,0
4003,role_jobname_4003,3890033_icon,0,0,0,0,0
4004,role_jobname_4004,3890034_icon,0,0,0,0,0
4005,role_jobname_4005,3890035_icon,0,0,0,0,0
4006,role_jobname_4006,3890036_icon,0,0,0,0,0
4007,role_jobname_4007,3890037_icon,0,0,0,0,0
4008,role_jobname_4008,3890038_icon,0,0,0,0,0
5001,role_jobname_5001,3890041_icon,0,0,0,0,0
5002,role_jobname_5002,3890042_icon,0,0,0,0,0
5003,role_jobname_5003,3890043_icon,0,0,0,0,0
5004,role_jobname_5004,3890044_icon,0,0,0,0,0
5005,role_jobname_5005,3890045_icon,0,0,0,0,0
5006,role_jobname_5006,3890046_icon,0,0,0,0,0
5007,role_jobname_5007,3890047_icon,0,0,0,0,0
5008,role_jobname_5008,3890048_icon,0,0,0,0,0
