ID,type,Tab,TabIcon,ItemId,Sticker
260101,1,1,1,260101,Sticker_3000001_1
260102,1,1,0,260102,Sticker_3000001_2
260103,1,1,0,260103,Sticker_3000001_3
260104,1,1,0,260104,Sticker_3000001_4
260105,1,1,0,260105,Sticker_3000001_5
260106,1,1,0,260106,Sticker_3000001_6
260107,1,1,0,260107,Sticker_3000001_7
260108,1,1,0,260108,Sticker_3000001_8
260109,1,1,0,260109,Sticker_3000001_9
260110,1,1,0,260110,Sticker_3000001_10
260111,1,1,0,260111,Sticker_3000001_11
260112,1,1,0,260112,Sticker_3000001_12
260113,1,1,0,260113,Sticker_3000001_13
260114,1,1,0,260114,Sticker_3000001_14
260115,1,1,0,260115,Sticker_3000001_15
260116,1,1,0,260116,Sticker_3000001_16
260201,1,2,0,260201,Sticker_Kelaier_01
260202,1,2,0,260202,Sticker_Kelaier_02
260203,1,2,1,260203,Sticker_Kelaier_03
260204,1,2,0,260204,Sticker_Kelaier_04
260205,1,2,0,260205,Sticker_Kelaier_05
260206,1,2,0,260206,Sticker_Kelaier_06
260207,1,2,0,260207,Sticker_Kelaier_07
260208,1,2,0,260208,Sticker_Kelaier_08
260209,1,2,0,260209,Sticker_Kelaier_09
260210,2,2,0,260210,30
