Id,AttrId,Desattr,,,Desc1,DescName,TargetType,Attrlv,Pvp,RefixValue,RefixPercent,RefixFixValue,RefixValueGrown,RefixPercentGrown,RefixFixValueGrown,SkillId,Icon
1,101,,,,基础生命,,0,0,,"127,127",,,"127,127",,,,icon_500001
2,102,,,,基础攻击,,0,0,,"21,21",,,"21,21",,,,icon_500002
3,103,,,,基础防御,,0,0,,"11,11",,,"11,11",,,,icon_500003
11,101,AttrRefix_name_101,,,生命加成,,0,0,,,"50,50",,,"50,50",,,icon_500001
21,102,AttrRefix_name_102,,,攻击加成,,0,0,,,"50,50",,,"50,50",,,icon_500002
31,103,AttrRefix_name_103,,,防御加成,,0,0,,,"50,50",,,"50,50",,,icon_500003
4,101,,,,基础生命,,0,0,,"191,191",,,"191,191",,,,icon_500001
5,102,,,,基础攻击,,0,0,,"32,32",,,"32,32",,,,icon_500002
6,103,,,,基础防御,,0,0,,"17,17",,,"17,17",,,,icon_500003
41,101,AttrRefix_name_101,,,生命加成,,0,0,,,"75,75",,,"75,75",,,icon_500004
51,102,AttrRefix_name_102,,,攻击加成,,0,0,,,"75,75",,,"75,75",,,icon_500005
61,103,AttrRefix_name_103,,,防御加成,,0,0,,,"75,75",,,"75,75",,,icon_500006
7,101,,,,基础生命,,0,0,,"286,286",,,"286,286",,,,icon_500001
8,102,,,,基础攻击,,0,0,,"47,47",,,"47,47",,,,icon_500002
9,103,,,,基础防御,,0,5,,"25,25",,,"25,25",,,,icon_500003
71,101,AttrRefix_name_101,,,生命加成,,0,5,,,"100,100",,,"100,100",,,icon_500004
81,102,AttrRefix_name_102,,,攻击加成,,0,5,,,"100,100",,,"100,100",,,icon_500005
91,103,AttrRefix_name_103,,,防御加成,,0,5,,,"100,100",,,"100,100",,,icon_500006
9001,101,AttrRefix_name_9001,成就,,额外生命加成,,0,0,,,,"8,8",,,,,
9002,101,AttrRefix_name_9001,成就,,额外生命加成,,0,0,,,,"24,24",,,,,
9003,101,AttrRefix_name_9001,成就,,额外生命加成,,0,0,,,,"40,40",,,,,
9004,102,AttrRefix_name_9002,成就,,额外攻击加成,,0,0,,,,"1,1",,,,,
9005,102,AttrRefix_name_9002,成就,,额外攻击加成,,0,0,,,,"3,3",,,,,
9006,102,AttrRefix_name_9002,成就,,额外攻击加成,,0,0,,,,"5,5",,,,,
9007,102,AttrRefix_name_9002,成就,,额外攻击加成,,0,0,,,,"15,15",,,,,
9201,101,AttrRefix_name_101_1,收藏奖励,,固定生命,,0,0,,,,"1,1",,,"1,1",,
9202,102,AttrRefix_name_102_1,收藏奖励,,固定攻击,,0,0,,,,"1,1",,,"1,1",,
9203,103,AttrRefix_name_103_1,收藏奖励,,固定防御,,0,0,,,,"1,1",,,"1,1",,
9204,104,AttrRefix_name_104_1,收藏奖励,,固定韧性,,0,0,,,,"1,1",,,"1,1",,
9205,112,,收藏奖励,,伤害加成,,0,0,,"10,10",,,"10,10",,,,
9206,114,,收藏奖励,,暴击率,,0,0,,"10,10",,,"10,10",,,,
9207,116,,收藏奖励,,暴击伤害,,0,0,,"10,10",,,"10,10",,,,
9208,123,,收藏奖励,,普工伤害,,0,0,,"10,10",,,"10,10",,,,
9209,124,,收藏奖励,,技能伤害,,0,0,,"10,10",,,"10,10",,,,
9210,125,,收藏奖励,,奥义伤害,,0,0,,"10,10",,,"10,10",,,,
9211,2012,,收藏奖励,,侵蚀命中,,0,0,,"10,10",,,"10,10",,,,
9212,2001,,收藏奖励,,灼烧命中,,0,0,,"10,10",,,"10,10",,,,
9213,120,,收藏奖励,,治疗效果,,0,0,,"10,10",,,"10,10",,,,
9214,3001,,收藏奖励,,灼烧伤害,,0,0,,"10,10",,,"10,10",,,,
9215,3012,,收藏奖励,,侵蚀伤害,,0,0,,"10,10",,,"10,10",,,,
9216,3005,,收藏奖励,,感电伤害,,0,0,,"10,10",,,"10,10",,,,
9301,101,Attribute_Name_101,黯影地牢（肉鸽爬塔）,,生命,,0,0,,,"10,10",,,"10,10",,,
