Id,,SaveBit,StorypackName,Type
5801001,第一章1-前,0,zxjq_1_1t31_n,0
5801002,第一章1-后,1,zxjq_1_1t32_n,0
5801003,第一章2-前,2,zxjq_1_2t0,0
5801004,第一章3-前,3,zxjq_1_3t31_n,0
5801005,第一章3-后,4,zxjq_1_3t32,0
5801006,第一章4-前,5,zxjq_1_4t0_n,0
5801007,第一章5-前,6,zxjq_1_5t0,0
5801008,第一章6-前,7,zxjq_1_6t31,0
5801009,第一章6-后,8,zxjq_1_6t32,0
5801010,第一章7-后,9,zxjq_1_7t2,0
5801011,第一章8-前,10,zxjq_1_8t0,0
5801012,第一章9-前,11,zxjq_1_9t31,0
5801013,第一章9-后,12,zxjq_1_9t32,0
5801014,第一章10-前,13,zxjq_1_10t1,0
5801015,第一章11-前,14,zxjq_1_11t0,0
5801016,第一章12-前,15,zxjq_1_12t1,0
5801017,第一章13-前,16,zxjq_1_13t1,0
5801018,第一章14-前,17,zxjq_1_14t31,0
5801019,第一章14-后,18,zxjq_1_14t32,0
5801020,第二章1-前,19,zxjq_2_1t31,0
5801021,第二章1-后,20,zxjq_2_1t32,0
5801022,第二章2-前,21,zxjq_2_2t31,0
5801023,第二章2-后,22,zxjq_2_2t32,0
5801024,第二章3-前,23,zxjq_2_3t0,0
5801025,第二章4-前,24,zxjq_2_4t0,0
5801026,第二章5-前,25,zxjq_2_5t0,0
5801027,第二章6-前,26,zxjq_2_6t0,0
5801028,第二章7-前,27,zxjq_2_7t0,0
5801029,第二章8-前,28,zxjq_2_8t0,0
5801030,第二章9-前,29,zxjq_2_9t0,0
5801031,第二章10-前,30,zxjq_2_10t0,0
5801032,第二章11-前,31,zxjq_2_11t0,0
5801033,第二章12-前,32,zxjq_2_12t0,0
5801034,第二章13-前,33,zxjq_2_13t1,0
5801035,第二章14-前,34,zxjq_2_14t31,0
5801036,第二章14-后,35,zxjq_2_14t32,0
5801037,第二章15-前,36,zxjq_2_15t0_n,0
5801038,第三章1-前,37,zxjq_3_1t0,0
5801039,第三章2-前,38,zxjq_3_2t0,0
5801040,第三章3-前,39,zxjq_3_3t0,0
5801041,第三章4-前,40,zxjq_3_4t0,0
5801042,第三章5-前,41,zxjq_3_5t0,0
5801043,第三章6-前,42,zxjq_3_6t31,0
5801044,第三章6-后,43,zxjq_3_6t32,0
5801045,第三章7-前,44,zxjq_3_7t0,0
5801046,第三章8-前,45,zxjq_3_8t31,0
5801047,第三章8-后,46,zxjq_3_8t32,0
5801048,第三章9-前,47,zxjq_3_9t0,0
5801049,第三章10-前,48,zxjq_3_10t31,0
5801050,第三章10-后,49,zxjq_3_10t32,0
5801051,第三章11-前,50,zxjq_3_11t31,0
5801052,第三章11-后,51,zxjq_3_11t32,0
5801053,第四章1-前,52,zxjq_4_1t0,0
5801054,第四章2-前,53,zxjq_4_2t0,0
5801055,第四章3-前,54,zxjq_4_3t31,0
5801056,第四章3-后,55,zxjq_4_3t32,0
5801057,第四章4-前,56,zxjq_4_4t0,0
5801058,第四章5-前,57,zxjq_4_5t0,0
5801059,第四章6-前,58,zxjq_4_6t0,0
5801060,第四章7-前,59,zxjq_4_7t31,0
5801061,第四章7-后,60,zxjq_4_7t32,0
5801062,第四章8-前,61,zxjq_4_8t0,0
5801063,第四章9-前,62,zxjq_4_9t0,0
5801064,第四章10-前,63,zxjq_4_10t0,0
5801065,第四章11-前,64,zxjq_4_11t0,0
5801066,第四章12-前,65,zxjq_4_12t1,0
5801067,第四章13-前,66,zxjq_4_13t1,0
5801068,第四章14-前,67,zxjq_4_14t31,0
5801069,第四章14-后,68,zxjq_4_14t32,0
5801070,第四章15-前,69,zxjq_4_15t0,0
5801071,第五章1-前,70,zxjq_5_1t0,0
5801072,第五章2-前,71,zxjq_5_2t0,0
5801073,第五章3-前,72,zxjq_5_3t0,0
5801074,第五章4-前,73,zxjq_5_4t0,0
5801075,第五章5-前,74,zxjq_5_5t0,0
5801076,第五章6-前,75,zxjq_5_6t31,0
5801077,第五章6-后,76,zxjq_5_6t32,0
5801078,第五章7-前,77,zxjq_5_7t31,0
5801079,第五章7-后,78,zxjq_5_7t32,0
5801080,第五章8-前,79,zxjq_5_8t0,0
5801081,第五章9-前,80,zxjq_5_9t0,0
5801082,第五章10-前,81,zxjq_5_10t31,0
5801083,第五章10-后,82,zxjq_5_10t32,0
5801084,第五章11-前,83,zxjq_5_11t0,0
5801085,第五章12-前,84,zxjq_5_12t0,0
5801086,第五章13-前,85,zxjq_5_13t1,0
5801087,第五章14-前,86,zxjq_5_14t0,0
5801088,第五章15-前,87,zxjq_5_15t0,0
5801089,第五章16-前,88,zxjq_5_16t31,0
5801090,第五章16-后,89,zxjq_5_16t32,0
5801091,第五章17-前,90,zxjq_5_17t0,0
5801092,第五章18-前,91,zxjq_5_18t0,0
5801093,第五章19-前,92,zxjq_5_19t31,0
5801094,第五章19-后,93,zxjq_5_19t32,0
5801095,第五章20-前,94,zxjq_5_20t0,0
5801096,第六章1-前,95,zxjq_6_1t0,0
5801097,第六章2-前,96,zxjq_6_2t0,0
5801098,第六章3-前,97,zxjq_6_3t0,0
5801099,第六章4-前,98,zxjq_6_4t0,0
5801100,第六章5-前,99,zxjq_6_5t0,0
5801101,第六章6-前,100,zxjq_6_6t0,0
5801102,第六章7-前,101,zxjq_6_7t0,0
5801103,第六章8-前,102,zxjq_6_8t0,0
5801134,第六章9-前,103,zxjq_6_9t0,0
5801104,第六章10-前,104,zxjq_6_10t0,0
5801105,第六章11-前,105,zxjq_6_11t0,0
5801106,第六章12-前,106,zxjq_6_12t0,0
5801107,第六章13-前,107,zxjq_6_13t0,0
5801108,第六章14-前,108,zxjq_6_14t0,0
5801109,第六章15-前,109,zxjq_6_15t0,0
5801110,第六章16-前,110,zxjq_6_16t0,0
5801111,第六章下1-前,111,zxjq_6_2_1t0,0
5801112,第六章下2-前,112,zxjq_6_2_2t0,0
5801113,第六章下3-前,113,zxjq_6_2_3t0,0
5801114,第六章下4-前,114,zxjq_6_2_4t0,0
5801115,第六章下5-前,115,zxjq_6_2_5t0,0
5801116,第六章下6-前,116,zxjq_6_2_6t0,0
5801117,第六章下7-前,117,zxjq_6_2_7t0,0
5801118,第六章下8-前,118,zxjq_6_2_8t0,0
5801119,第六章下9-前,119,zxjq_6_2_9t0,0
5801120,第六章下10-前,120,zxjq_6_2_10t0,0
5801121,第六章下11-前,121,zxjq_6_2_11t0,0
5801122,第六章下12-前,122,zxjq_6_2_12t0,0
5801123,第六章下13-前,123,zxjq_6_2_13t0,0
5801124,第六章下14-前,124,zxjq_6_2_14t0,0
5801125,第六章下15-前,125,zxjq_6_2_15t0,0
5801126,第六章下16-前,126,zxjq_6_2_16t1,0
5801127,第六章下17-前,127,zxjq_6_2_17t31,0
5801128,第六章下17-后,128,zxjq_6_2_17t32,0
5801140,第七章1,129,zxjq_7_1t0,0
5801141,第七章2,130,zxjq_7_2t0,0
5801142,第七章3,131,zxjq_7_3t0,0
5801143,第七章4,132,zxjq_7_4t0,0
5801144,第七章5,133,zxjq_7_5t0,0
5801145,第七章6,134,zxjq_7_6t0,0
5801146,第七章7,135,zxjq_7_7t0,0
5801147,第七章8,136,zxjq_7_8t0,0
5801148,第七章9,137,zxjq_7_9t0,0
5801149,第七章10,138,zxjq_7_10t0,0
5801150,第七章11,139,zxjq_7_11t0,0
5801151,第七章12,140,zxjq_7_12t0,0
5801152,第七章13,141,zxjq_7_13t0,0
5801153,第七章14,142,zxjq_7_14t0,0
5801154,第七章15,143,zxjq_7_15t0,0
5801155,第8章1,144,zxjq_8_1t0,
5801156,第8章2,145,zxjq_8_2t0,
5801157,第8章3,146,zxjq_8_3t0,
5801158,第8章4,147,zxjq_8_4t0,
5801159,第8章5,148,zxjq_8_5t0,
5801160,第8章6,149,zxjq_8_6t0,
5801161,第8章7,150,zxjq_8_7t0,
5801162,第8章8,151,zxjq_8_8t0,
5801163,第8章9,152,zxjq_8_9t0,
5801164,第8章10,153,zxjq_8_10t0,
5801165,第8章11,154,zxjq_8_11t0,
5801166,第8章12,155,zxjq_8_12t0,
5801167,第8章13,156,zxjq_8_13t0,
5801168,第8章14,157,zxjq_8_14t0,
5801169,第8章15,158,zxjq_8_15t0,
5801170,第8章16,159,zxjq_8_16t0,
5801171,第8章17,160,zxjq_8_17t0,
5801172,第8章18,161,zxjq_8_18t0,
5801173,第8章19,162,zxjq_8_19t0,
5801174,第8章20,163,zxjq_8_20t0,
5801600,困难剧情1-1,164,zxjq_h_1_1,0
5801601,困难剧情1-2,165,zxjq_h_1_2,0
5801602,困难剧情1-3,166,zxjq_h_1_3,0
5801603,困难剧情1-4,167,zxjq_h_1_4,0
5801604,困难剧情1-5,168,zxjq_h_1_5,0
5801605,困难剧情1-6,169,zxjq_h_1_6,0
5801606,困难剧情1-7,170,zxjq_h_1_7,0
5801607,困难剧情1-8,171,zxjq_h_1_8,0
5801608,困难剧情1-9,172,zxjq_h_1_9,0
5801609,困难剧情2-1,173,zxjq_h_2_1,0
5801610,困难剧情2-2,174,zxjq_h_2_2,0
5801611,困难剧情2-3,175,zxjq_h_2_3,0
5801612,困难剧情2-4,176,zxjq_h_2_4,0
5801613,困难剧情2-5,177,zxjq_h_2_5,0
5801614,困难剧情2-6,178,zxjq_h_2_6,0
5801615,困难剧情2-7,179,zxjq_h_2_7,0
5801616,困难剧情2-8,180,zxjq_h_2_8,0
5801617,困难剧情2-9,181,zxjq_h_2_9,0
5801618,困难剧情3-1,182,zxjq_h_3_1,0
5801619,困难剧情3-2,183,zxjq_h_3_2,0
5801620,困难剧情3-3,184,zxjq_h_3_3,0
5801621,困难剧情3-4,185,zxjq_h_3_4,0
5801622,困难剧情3-5,186,zxjq_h_3_5,0
5801623,困难剧情3-6,187,zxjq_h_3_6,0
5801624,困难剧情3-7,188,zxjq_h_3_7,0
5801625,困难剧情3-8,189,zxjq_h_3_8,0
5801626,困难剧情3-9,190,zxjq_h_3_9,0
5801627,困难剧情3-10,191,zxjq_h_3_10,0
5801628,困难剧情3-11,192,zxjq_h_3_11,0
5801629,困难剧情4-1,193,zxjq_h_4_1,0
5801630,困难剧情4-2,194,zxjq_h_4_2,0
5801631,困难剧情4-3,195,zxjq_h_4_3,0
5801632,困难剧情4-4,196,zxjq_h_4_4,0
5801633,困难剧情4-5,197,zxjq_h_4_5,0
5801634,困难剧情4-6,198,zxjq_h_4_6,0
5801635,困难剧情4-7,199,zxjq_h_4_7,0
5801636,困难剧情4-8,200,zxjq_h_4_8,0
5801637,困难剧情4-9,201,zxjq_h_4_9,0
5800001,牧星痕记忆,202,dailystory_mu_01,1
5800002,丹妮星痕记忆,203,dailystory_danni_01,1
5800003,芙洛拉星痕记忆,204,dailystory_fuluola_01,1
5800004,吉拉蒂亚星痕记忆,205,dailystory_jiladiya_01,1
5800005,萨拉星痕记忆,206,dailystory_sala_01,1
5800006,希夕莉星痕记忆,207,dailystory_xixili_01,1
5800007,安普莎星痕记忆,208,dailystory_anpusha_01,1
5800008,克尔苏娜星痕记忆,209,dailystory_keersuna_01,1
5800009,雷雷星痕记忆,210,dailystory_leilei_01,1
5800010,丘吉尔星痕记忆,211,dailystory_qiujier_01,1
5800011,水仙星痕记忆,212,dailystory_shuixian_01,1
5800012,耶坦尼娅星痕记忆,213,dailystory_yetanniya_01,1
5800013,伊卡洛斯星痕记忆,214,dailystory_yikaluosi_01,1
5800014,艾什尔星痕记忆,215,dailystory_aishier_01,1
