Id,Type,Order,client,Title,,Name,,Name2,,Unlock,XiaJianName,,Pos1,Pos2,Pos3,ChapterRewardMission,BGM,BattleIcon,BossType,Png,BackGround,PanoBG,breakthrough_icon,FlagColor,Conditions,bonus
1,1,1,,chapter_title_1,01,chapter_name_1,无罪的米德加尔,chapter_name2_1,Innocent Midgard,0,memory_name_chapter_name_1,悖逆之城,"398,284","294,266","-471,343","101005,101006,101008,101007;501005,501006,501007",bgm_ZhangJie_1,ui_zd_dansheng,1,ui_cj_bg_1,bg_cj_1,,,008472,,
2,1,2,,chapter_title_2,02,chapter_name_2,罪恶是影子,chapter_name2_2,Sin Is The Shadow,10122,memory_name_chapter_name_2,狂号风暴,"408,328","-86,148","-669,286","102005,102006,102008,102007;502005,502006,502007",bgm_ZhangJie_2,ui_zd_chuandao,4,ui_cj_bg_2,bg_cj_1,,,960C3C,,
3,1,3,,chapter_title_3,03,chapter_name_3,真理之壤,chapter_name2_3,Soil Of Truth,10228,memory_name_chapter_name_3,洞悉之瞳,"-182,162","640,210","-225,331","103005,103006,103008,103007;503005,503006,503007",bgm_ZhangJie_3,ui_zd_junwang,2,ui_cj_bg_3,bg_cj_2,,,CD901E,,
4,1,4,,chapter_title_4,04,chapter_name_4,虚妄之花,chapter_name2_4,fLower of Illusion,10320,memory_name_chapter_name_4,深暗魔井,"385,313","-124,94","-395,277","104005,104006,104008,104007;504005,504006,504007",bgm_ZhangJie_4,ui_zd_pucong,7,ui_cj_bg_4,bg_cj_2,,,33259E,,
5,1,5,,chapter_title_5,05,chapter_name_5,欲望的潮汐,chapter_name2_5,Tides Of Desire,10424,memory_name_chapter_name_5,镜中异相,"-209,483","372,190","372,190","105005,105006,105008,105007;505005,505006,505007",bgm_ZhangJie_5,ui_zd_renzi,6,ui_cj_bg_5,bg_cj_3,,,950C22,,
6,1,6,,chapter_title_6,06-序,chapter_name_6,非虚构戏剧-序,chapter_name2_6,Non-Fiction Drama - 0,10533,memory_name_chapter_name_6,镜中异相,,,,"106005,106006,106007;506005,506006,506007",bgm_ZhangJie_5,ui_zd_shounan,5,ui_cj_bg_6,bg_cj_3,,,E06737,,
7,1,6,,chapter_title_7,06-上,chapter_name_7,非虚构戏剧-上,chapter_name2_7,Non-Fiction Drama - 1,10622,memory_name_chapter_name_7,镜中异相,0,0,0,"107005,107006,107007;507005,507006,507007",bgm_ZhangJie_5,ui_zd_shounan,5,ui_cj_bg_6_2,bg_cj_3,,,C1061E,,
8,1,6,,chapter_title_8,06-下,chapter_name_8,非虚构戏剧-下,chapter_name2_8,Non-Fiction Drama - 2,10726,memory_name_chapter_name_8,镜中异相,0,0,0,"108005,108006,108007;508005,508006,508007",bgm_ZhangJie_5,ui_zd_shounan,5,ui_cj_bg_6_3,bg_cj_3,,,D9952C,,
9,1,7,,chapter_title_9,07,chapter_name_9,神谕协奏曲,chapter_name2_9,The Oracle‘s Concerto,10833,memory_name_chapter_name_9,镜中异相,"130,474","130,474","130,474","109005,109006,109007;509005,509006,509007",bgm_ZhangJie_5,ui_zd_shounan,6,ui_cj_bg_7,bg_cj_3,,,1D39D4,,
10,1,8,,chapter_title_10,08,chapter_name_10,爱的进化剧,chapter_name2_10,Evolution Of Love,10933,memory_name_chapter_name_10,镜中异相,"130,474","130,474","130,474","110005,110006,110007;510005,510006,510007",bgm_ZhangJie_5,ui_zd_shounan,5,ui_cj_bg_8,bg_cj_3,,,00D8E9,,
