Id,,Name,Rank,Type,UesType,TypeName,ItemAttr,MaxOwnCount,MaxNum,UesCondition,Reward,ChoiceReward,AccessHint,AccessId,Param,GainMax,SynthesisConsume,Synthesis,DecomposeConsume,Decompose,TimeLimitType,TimeLimit,LockGm,Icon,Des,function,order,bag
1,代金券（内部模拟充值用）,代金券（内部模拟充值用）,4,5,5,,,,99999999,,,,,0,0,,,,,,,,,6021017_icon,,,1,1
2801,通用卡包—『千年珍藏』收藏牌,item_name_2801,4,28,,0,0,0,99999999,,0,0,,0,0,,0,0,0,0,0,0,0,2801_icon,item_des_2801,item_function_2801,1,1
2899,测试新卡牌专用卡包,item_name_2899,4,28,,0,0,0,99999999,,0,0,,0,0,,0,0,0,0,0,0,0,2899_icon,item_des_2899,item_function_2899,1,1
9801,大月卡,gift_name_502,4,98,,0,0,0,99999999,,0,0,,0,502,,0,0,0,0,0,0,0,ui_sd_yk_diban_3,item_des_9801,item_function_9801,1,0
1000001,秩序结晶(付费钻石),item_name_1000001,4,1,,0,0,0,99999999,,0,0,,1101,0,1000000,0,0,0,0,0,0,0,1000001_icon,item_des_1000001,item_function_1000001,1,0
1000002,星魂结晶(免费钻石),item_name_1000002,3,1,,0,0,0,99999999,,0,0,,0,0,1000000,0,0,0,0,0,0,0,1000002_icon,item_des_1000002,item_function_1000002,1,0
1000003,本勒(金币),item_name_1000003,2,1,,0,0,0,99999999,,0,0,,"10002,1601,1415",0,0,0,0,0,0,0,0,0,1000003_icon,item_des_1000003,item_function_1000003,1,0
1000004,星魂力(体力),item_name_1000004,2,17,,0,0,0,0,,0,0,,10001,1003,0,0,0,0,0,0,0,0,1000004_icon,item_des_1000004,item_function_1000004,1,0
1000005,源质精粹(海外代金券),item_name_1000005,2,1,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1000005_icon,item_des_1000005,item_function_1000005,1,0
1000006,战斗力(每日任务用),item_name_1000006,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0
1000007,战斗力(每周任务用),item_name_1000007,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0
1000008,玩家经验,item_name_1000008,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000009,主线任务boss章节进度道具,,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000010,月卡（购买展示用）,gift_name_501,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001014_icon,gift_des_501,0,1,0
1000011,活跃任务积分道具（不显示）,,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000012,阅历点（不显示）,,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000013,首充道具（不显示，首充任务道具条件）,,2,99,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000014,公会boss门票,item_name_1000014,2,17,,0,0,0,0,,0,0,,10001,1007,0,0,0,0,0,0,0,0,1000014_icon,item_des_1000014,item_function_1000014,1,0
1000015,每日boss门票,item_name_1000015,2,17,,0,0,0,0,,0,0,,0,1009,0,0,0,0,0,0,0,0,1000015_icon,item_des_1000015,item_function_1000015,1,0
1000016,星魂力(备用体力),item_name_1000016,2,5,,0,0,0,10000,,110016,0,,0,0,10000,0,0,0,0,0,0,0,1000016_icon,item_des_1000016,item_function_1000016,1,0
1000017,神谕司邀请函门票,item_name_1000017,2,17,,0,0,0,0,,0,0,,0,1010,0,0,0,0,0,0,0,0,1000017_icon,item_des_1000017,item_function_1000017,1,0
1000018,(新皮肤代币),item_name_1000018,3,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1000018_icon,item_des_1000018,item_function_1001037,1,0
1000019,收契徽记（集换卡分解获得）,item_name_1000019,4,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1000019_icon,item_des_1000019,item_function_1000019,1,0
1001003,圣殿币(日常商店用),item_name_1001003,1,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001003_icon,item_des_1001003,item_function_1001003,1,0
1001015,蓝尖方(蓝尖方商店用),item_name_1001015,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001015_icon,item_des_1001015,item_function_1001015,1,0
1001016,绿尖方(绿尖方商店用),item_name_1001016,3,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001016_icon,item_des_1001016,item_function_1001016,1,0
1001005,友情点(友情商店用),item_name_1001005,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001005_icon,item_des_1001005,item_function_1001005,1,0
1001017,混乱铭牌(混乱商店),item_name_1001017,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001017_icon,item_des_1001017,item_function_1001017,1,0
1001018,荣耀之证(圣别之塔局内),item_name_1001018,2,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001018_icon,item_des_1001018,item_function_1001018,1,0
1001019,深渊结晶(深渊商店),item_name_1001019,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001010_icon,item_des_1001019,item_function_1001019,1,0
1001021,录影石,item_name_1001021,1,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001021_icon,item_des_1001021,item_function_1001021,1,0
1001007,归行票证经验,item_name_1001007,1,1,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1001007_icon,item_des_1001007,item_function_1001007,1,0
1001008,回归任务经验,item_name_1001008,1,1,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1001008_icon,item_des_1001008,item_function_1001008,1,0
1001026,祈愿铜币(桃活动代币),item_name_1001026,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001026_icon,item_des_1001026,item_function_1001026,1,1
1001027,怪物精魄(怪物阵列活动币A),item_name_1001027,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001027_icon,item_des_1001027,item_function_1001027,1,0
1001028,魔物灵质(怪物阵列活动币B),item_name_1001028,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001028_icon,item_des_1001028,item_function_1001028,1,0
1001038,真理徽章(怪物阵列活动币C),item_name_1001038,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001038_icon,item_des_1001038,item_function_1001038,1,0
1001039,s圣息徽章(无限活力活动),item_name_1001039,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001039_icon,item_des_1001039,item_function_1001039,1,1
1001040,s恶魔蜜酿(昔莱活动),item_name_1001040,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001040_icon,item_des_1001040,item_function_1001040,1,1
1001041,s红簌币(大波斯菊活动),item_name_1001041,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1002041_icon,item_des_1001041,item_function_1001041,1,1
1001042,s飞禽纪念币(奈奥米活动),item_name_1001042,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1002042_icon,item_des_1001042,item_function_1001042,1,1
1001043,s龙纹红包(极焰活动),item_name_1001043,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001043_icon,item_des_1001043,item_function_1001043,1,1
1001044,s花蝶券(扭蛋活动),item_name_1001044,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001044_icon,item_des_1001044,item_function_1001044,1,1
1001045,s幻梦银勋(梦域商店),item_name_1001045,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001045_icon,item_des_1001045,item_function_1001045,1,0
1001046,s甜甜圈(露易丝活动),item_name_1001046,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001046_icon,item_des_1001046,item_function_1001046,1,0
1001047,s金色罗盘(恋花和花梨活动),item_name_1001047,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001047_icon,item_des_1001047,item_function_1001047,1,0
1001048,s美神金币(诺维娅活动),item_name_1001048,2,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001048_icon,item_des_1001048,item_function_1001048,1,0
1001049,挑战次数(专武次数),item_name_1001049,2,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001049_icon,item_des_1001049,item_function_1001049,1,0
1001050,骚灵币(骚灵商店),item_name_1001050,3,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001050_icon,item_des_1001050,item_function_1001050,1,0
1001051,喧闹鬼的邀请函(增加挑战次数道具),item_name_1001051,3,3,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001051_icon,item_des_1001051,item_function_1001051,1,0
1001052,香薰蜡烛(专武抽卡券),item_name_1001052,3,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001052_icon_2,item_des_1001052,item_function_1001052,1,1
1001053,大物诗篇(专武绿方尖),item_name_1001053,3,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001053_icon,item_des_1001053,item_function_1001053,1,0
1001054,泥板书(专武蓝方尖),item_name_1001054,3,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001054_icon,item_des_1001054,item_function_1001054,1,0
1001055,岁序之约(心愿单道具-龙年),item_name_1001055,4,19,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001055_icon,item_des_1001055,item_function_1001055,1,0
1001056,红豆刨冰(闪乱神乐联动代币),item_name_1001056,2,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001056_icon,item_des_1001056,item_function_1001056,1,0
1001057,美神金币-伪(黑音白夜活动代币),item_name_1001057,2,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001057_icon,item_des_1001057,item_function_1001057,1,0
1001058,凋落的泥砂(周年庆代币),item_name_1001058,2,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001058_icon,item_des_1001058,item_function_1001058,1,0
1001059,不融雪人(卡洛蒂活动代币),item_name_1001059,2,1,,0,0,0,99999999,,0,0,,0,0,0,0,0,0,0,0,0,0,1001059_icon,item_des_1001059,item_function_1001059,1,0
