Id,RoleId,CameraType,PositionX,PositionY,PositionZ,FocalLength,RoleRotation
3000001,3000001,1,30,149,-786,40,15500
3000002,3000002,1,33,115,-786,45,15500
3000003,3000003,1,30,149,-786,40,16600
3000004,3000004,1,30,149,-786,40,17000
3000005,3000005,1,30,149,-786,40,17000
3000006,3000001,2,30,134,-1200,40,18000
3000007,3000002,2,33,100,-786,45,18000
3000008,3000003,2,30,134,-1200,40,18000
3000009,3000004,2,30,134,-1200,40,18000
3000010,3000005,2,30,134,-1200,40,18000
3000011,3000001,3,43,117,-2000,55,18000
3000012,3000002,3,46,88,-2000,60,18000
3000013,3000003,3,43,117,-2000,55,18000
3000014,3000004,3,43,117,-2000,55,18000
3000015,3000005,3,43,117,-2000,55,18000
3000016,3000001,4,73,88,-2425,90,15000
3000017,3000002,4,73,87,-2425,90,15000
3000018,3000003,4,73,88,-2425,90,16600
3000019,3000004,4,73,88,-2425,90,17000
3000020,3000005,4,73,88,-2425,90,15000
3000021,3000001,5,73,88,-2500,90,18000
3000022,3000002,5,73,87,-2500,90,18000
3000023,3000003,5,73,88,-2500,90,18000
3000024,3000004,5,73,88,-2500,90,18000
3000025,3000005,5,73,88,-2500,90,18000
3000026,3000006,1,30,130,-786,40,16600
3000027,3000006,2,30,125,-1200,40,18000
3000028,3000006,3,43,110,-2000,55,18000
3000029,3000006,4,73,88,-2425,85,16600
3000030,3000006,5,73,88,-2500,85,18000
