Id,Name,Rank,Icon,Source,Synthesis,SkillID,type
10001,treasure_name_10001,5,icon_101,0,0,210011,1
10002,treasure_name_10002,5,icon_102,0,0,210021,1
10003,treasure_name_10003,5,icon_103,0,0,210031,1
10004,treasure_name_10004,5,icon_105,0,0,210041,1
10005,treasure_name_10005,5,icon_106,0,0,210051,1
10006,treasure_name_10006,5,icon_107,0,0,210061,1
10007,treasure_name_10007,5,icon_108,0,0,210071,1
10008,treasure_name_10008,5,icon_109,0,0,210081,1
10009,treasure_name_10009,5,icon_3,0,0,210091,1
10010,treasure_name_10010,5,icon_4,0,0,210101,1
10011,treasure_name_10011,5,icon_104,0,0,210111,1
10012,treasure_name_10012,5,icon_101,0,0,210121,1
10013,treasure_name_10013,5,icon_102,0,0,210131,1
10014,treasure_name_10014,5,icon_103,0,0,210141,1
10015,treasure_name_10015,5,icon_105,0,0,210151,1
10016,treasure_name_10016,5,icon_106,0,0,210161,1
10017,treasure_name_10017,5,icon_107,0,0,210171,1
10018,treasure_name_10018,5,icon_108,0,0,210181,1
10019,treasure_name_10019,5,icon_109,0,0,210191,1
10020,treasure_name_10020,5,icon_3,0,0,210201,1
10021,treasure_name_10021,5,icon_4,0,0,210211,1
