ShowId,,ShowType,MiniSkillType,ShowSkillType,AoyiBj,PrepareAction,PrepareEffect,BoneEffects,HideType,CoordOffset,FlyEffects,HitPosition,HitEffect,HitOrder,HitEffectTime,hit_action_type,HitDamageWeight,HitTime,HpEndShow,ConjureEftTime,HitDelayTime,AttackEndTime,SkipTime,UnSkipPable_time,AreaEffect,EndTime
100012,律奥义,1,16,,,zd_ay_jy,3000001_jy_ay,,,,,1,3000001_jy_ay_hit,,733,,100,1000,,,,2000,,,,
100022,克萝萝奥义,1,3,,,zd_ay_jy_start,3000002_jy_aoyi,,,,,,3000002_jy_aoyi_hit,,0,1,"80,80,80,80,80,80,100","133,733,1133,1333,1533,1766,2433",,,,5300,2233,,,
100032,黑神月咏奥义,1,12,,,zd_ay_jy,3000003_aoyi_jy,,,,,1,3000003_aoyi_jy_hit,,200,,100,2466,,,,4000,,,,
100042,安洁奥义,1,16,,,zd_ay_jy,,"eff_ball_07,3000004_jy_ay_anjie_03;eff_ball_01,3000004_jy_ay_anjie_yellow;eff_ball_02,3000004_jy_ay_anjie_green;eff_ball_03,3000004_jy_ay_anjie_orange;eff_ball_04,3000004_jy_ay_anjie_pink;eff_ball_05,3000004_jy_ay_anjie_red;eff_ball_06,3000004_jy_ay_anjie_blue",,,,,3000004_jy_ay_anjie_hit,,4200,,100,4500,,,,6200,,,,
100052,米娅奥义,1,16,,,zd_ay_jy,3000005_jy_aoyi,"eff_ball_04,3000005_jy_aoyi_qiu",,,,1,3000005_jy_aoyi_hit,,6550,,100,7760,,,,9600,,,,
100062,玛莎奥义,1,12,,,zd_ay_jy,3000006_jy_ay,,,,,1,3000006_jy_ay_hit,,1433,,100,1450,,,,3633,,,,
130011,格蕾1,1,3,,,zd_jn_jy_01_move,3013001_jn_jy_01,,,,,1,3013001_jn_jy_hit,,0,,"100,100","300,1350",,,,2400,,,,
130031,阿涅克丝1,1,6,,,zd_jn_jy_01_move,3013003_jn_jy_01,,,,,1,3013003_jn_jy_01_hit,,0,,"100,100,100,100,100,100,100,100","300,400,500,600,700,800,900,1000",,,,2300,,,,
130032,阿涅克丝2,1,12,,,zd_jn_jy_02,3013003_jn_jy_02,,,,,1,3013003_jn_jy_02_hit,,600,,100,700,,,,1833,,,,
130041,炽爱1,1,3,,,zd_jn_jy_01_move,3013004_jn_jy_01,,,,,1,3013004_jn_jy_01_hit,,0,,"60,60,60,60,100","160,330,536,756,1360",,,,2800,,,,
130042,炽爱2,1,16,,,zd_jn_jy_02,3013004_jn_jy_02,,,,,1,,,,,,,,,,2866,,,,
130061,水仙1,1,16,,,zd_jn_jy_01,3013006_jn_jy_01,"aoi_scale_Bone020,3013006_jn_jy_01_weapon",,,,1,3013006_jn_jy_01_hit,,0,,100,1000,,,,1800,500,,,
130062,水仙2,1,126,,,zd_jn_jy_02,3013006_jn_jy_02,"aoi_scale_Bone020,3013006_jn_jy_02_weapon",,,,,,,,,,,,,,2500,2498,,,
