Id,SkillType,AddType,Parameters,SkillDes,SkillName
1001,1,1,"1001,100;1002,100;1003,100;1004,100",lifeskill_1001,
1002,1,1,"1001,200;1002,200;1003,200;1004,200",lifeskill_1002,
1003,1,1,"1001,300;1002,300;1003,300;1004,300",lifeskill_1003,
1004,2,2,"20600,2,1",lifeskill_1004,
1005,2,2,"20601,2,1",lifeskill_1005,
1006,2,2,"20602,2,1",lifeskill_1006,
1007,2,2,"20603,2,1",lifeskill_1007,
1008,2,2,"20604,2,1",lifeskill_1008,
1009,2,2,"20605,2,1",lifeskill_1009,
20001,5,3,,,
30001,6,4,1,,
30002,6,4,2,,
30003,6,4,3,,
30004,6,4,4,,
30005,6,4,5,,
31001,7,4,1,,
31002,7,4,2,,
31003,7,4,3,,
31004,7,4,4,,
31005,7,4,5,,
8001,8,5,1,,
1001001,1001,5,10000,生长速度{+参数%},速生因子
1002001,1002,5,10000,产量{+参数%},丰收因子
1003001,1003,5,10000,高品质概率{+参数%},幸运因子
1004001,1004,6,"1102001,10000",含有{技能id对应名字}的作物产出概率{变化量},特质因子
1005001,1005,5,10000,农场出售时价格{+参数%},商业因子
1006001,1006,5,10000,好友借用农场出售时，获得佣金{+参数%},佣金因子
1007001,1007,5,10000,农场偷取技巧值{+参数},潜行因子
1008001,1008,5,10000,农场守护技巧值{+参数},守卫因子
1001002,1001,5,20000,生长速度{+参数%},速生因子
1002002,1002,5,20000,产量{+参数%},丰收因子
1003002,1003,5,20000,高品质概率{+参数%},幸运因子
1004002,1004,6,"1102001,20000",含有{技能id对应名字}的作物产出概率{变化量},特质因子
1005002,1005,5,20000,农场出售时价格{+参数%},商业因子
1006002,1006,5,20000,好友借用农场出售时，获得佣金{+参数%},佣金因子
1007002,1007,5,20000,农场偷取技巧值{+参数},潜行因子
1008002,1008,5,20000,农场守护技巧值{+参数},守卫因子
1001003,1001,5,30000,生长速度{+参数%},速生因子
1002003,1002,5,30000,产量{+参数%},丰收因子
1003003,1003,5,30000,高品质概率{+参数%},幸运因子
1004003,1004,6,"1102001,30000",含有{技能id对应名字}的作物产出概率{变化量},特质因子
1005003,1005,5,30000,农场出售时价格{+参数%},商业因子
1006003,1006,5,30000,好友借用农场出售时，获得佣金{+参数%},佣金因子
1007003,1007,5,30000,农场偷取技巧值{+参数},潜行因子
1008003,1008,5,30000,农场守护技巧值{+参数},守卫因子
1001004,1001,5,40000,生长速度{+参数%},速生因子
1002004,1002,5,40000,产量{+参数%},丰收因子
1003004,1003,5,40000,高品质概率{+参数%},幸运因子
1004004,1004,6,"1102001,40000",含有{技能id对应名字}的作物产出概率{变化量},特质因子
1005004,1005,5,40000,农场出售时价格{+参数%},商业因子
1006004,1006,5,40000,好友借用农场出售时，获得佣金{+参数%},佣金因子
1007004,1007,5,40000,农场偷取技巧值{+参数},潜行因子
1008004,1008,5,40000,农场守护技巧值{+参数},守卫因子
1101001,1101,3,,可用于料理制作,食材
1102001,1102,3,,无特殊效果，特定时期出售价格提高,饱满
1102002,1102,3,,无特殊效果，特定时期出售价格提高,美观
1102003,1102,3,,无特殊效果，特定时期出售价格提高,营养
1102004,1102,3,,无特殊效果，特定时期出售价格提高,药用
1102005,1102,3,,无特殊效果，特定时期出售价格提高,多汁
1102006,1102,3,,无特殊效果，特定时期出售价格提高,耐寒
1102007,1102,3,,无特殊效果，特定时期出售价格提高,祭祀
1102008,1102,3,,无特殊效果，特定时期出售价格提高,提神
1102009,1102,3,,无特殊效果，特定时期出售价格提高,酿造
1102010,1102,3,,无特殊效果，特定时期出售价格提高,超甜
1102011,1102,3,,无特殊效果，特定时期出售价格提高,超酸
1102012,1102,3,,无特殊效果，特定时期出售价格提高,坚硬
