Id,Desc,ConditionType,PreOrConditions,PreConditions,Condition,ConditionParams,Divided,MaxValue
1,0,0,0,0,1,0,1,0
2,0,0,0,0,2,0,1,0
4,0,0,0,0,4,0,1,0
5,0,0,0,0,5,0,1,0
17,0,0,0,0,17,0,1,0
19,0,0,0,0,19,0,1,0
25,WinCondition_Desc_25,0,0,0,25,0,1,0
28,0,0,0,0,28,0,1,0
29,0,0,0,0,29,0,1,0
32,WinCondition_Desc_32,0,0,0,32,0,1,0
36,0,0,0,0,36,0,1,0
38,0,0,0,0,38,0,1,0
41,0,0,0,0,41,0,1,0
42,0,0,0,0,42,0,1,0
45,0,0,0,0,45,0,1,0
48,0,0,0,0,48,0,1,0
49,0,0,0,0,49,0,1,0
51,0,0,0,0,51,0,1,0
53,0,0,0,0,53,0,1,0
100,0,0,0,0,27,"1,1",10,0
101,0,0,0,0,1,1,1,0
102,0,0,0,0,1,2,1,0
103,0,0,0,0,1,3,1,0
104,0,0,0,0,1,4,1,0
105,0,0,0,0,1,5,1,0
107,0,0,0,0,3,"10107,1,99",1,0
108,0,0,0,0,3,"10108,1,99",1,0
109,0,0,0,0,3,"10109,1,99",1,0
110,0,0,0,0,3,"10110,1,99",1,0
111,0,0,0,0,7,2,1,0
112,0,0,0,0,3,"10112,1,99",1,0
113,0,0,0,0,5,"1,4",1,0
114,0,0,0,0,5,"2,3,6",1,0
115,0,0,0,0,6,101,1,0
116,0,0,0,0,7,6,1,0
117,0,0,0,0,7,8,1,0
118,0,0,0,0,7,9,1,0
119,0,0,0,0,7,10,1,0
120,0,0,0,0,8,"1,1",1,0
121,0,0,0,0,8,"2,1",1,0
122,0,0,0,0,8,"3,1",1,0
123,0,0,0,0,9,"1,1",1,0
124,0,0,0,0,9,"1,1",1,0
125,0,0,0,0,9,"1,1",1,0
126,0,0,0,0,9,"0,1",1,0
127,0,0,0,0,9,"0,1",1,0
128,0,0,0,0,9,"0,1",1,0
150,0,0,0,0,20,"0,1",1,0
151,0,0,0,0,13,1,1,0
152,0,0,0,0,13,2,1,0
153,0,0,0,0,13,3,1,0
154,0,0,0,0,13,4,1,0
157,0,0,"151,1,1;152,1,1;153,1,1",0,0,0,1,0
158,0,0,"154,1,1;155,1,1;156,1,1",0,0,0,1,0
199,0,0,0,0,11,0,1,0
200,0,0,0,0,12,0,1,0
201,0,0,0,"199,101,101;200,1,1",0,0,1,0
202,0,0,0,"199,102,101;200,1,1",0,0,1,0
203,0,0,0,"199,103,101;200,1,1",0,0,1,0
204,0,0,0,"199,104,101;200,1,1",0,0,1,0
205,0,0,0,"199,105,101;200,1,1",0,0,1,0
206,0,0,0,0,102,"3,2,1,10",1,0
207,0,0,0,0,107,0,1,0
208,0,0,0,0,108,0,1,0
209,0,0,0,0,13,0,1,0
210,0,0,0,0,14,0,1,0
211,0,0,0,0,15,0,1,0
212,0,0,0,0,15,0,1,0
213,0,0,0,0,15,0,1,0
214,0,0,0,0,16,0,1,0
215,0,0,0,0,16,0,1,0
216,0,0,0,0,16,0,1,0
217,0,0,0,0,110,0,1,0
218,0,0,0,0,111,5,1,0
219,0,0,0,0,111,7,1,0
220,0,0,0,0,111,9,1,0
221,0,0,0,0,111,11,1,0
222,0,0,0,0,111,12,1,0
223,0,0,0,0,111,13,1,0
224,0,0,0,0,111,14,1,0
225,0,0,0,0,111,15,1,0
226,0,0,0,0,111,16,1,0
227,0,0,0,0,109,0,1,0
228,0,0,0,0,7,3,1,0
229,0,0,0,0,17,3,1,0
230,0,0,0,0,7,2,1,0
231,0,0,0,0,39,"1,229",1,0
