Id,ChapterId,MapId,Type,Entrance,NextDungeon,Difficute,,Name,Name2,Size,Position,Scale,Icon,ItemId,MissionId
87011001,1,1,1,1,,0,圣殿-主殿,map_name_87011001,map_name2_87011001,0,"-684,84",100,8700001,,
87011002,1,1,1,1,,0,商店街,map_name_87011002,map_name2_87011002,0,"-176,-384",100,8700002,,
87011003,1,1,1,1,,0,案发宅邸,map_name_87011003,map_name2_87011003,0,"632,-30",100,8700003,,
87011004,1,1,1,1,,0,居民区,map_name_87011004,map_name2_87011004,0,"472,-302",100,8700004,,
87011005,1,1,1,1,,0,圣殿-侧殿,map_name_87011005,map_name2_87011005,0,"-244,290",100,8700022,,
87011006,1,1,1,1,,0,虔诚广场,map_name_87011006,map_name2_87011006,0,"-120,-78",100,8700024,,
87021001,2,1,1,1,,0,案发宅邸,map_name_87021001,map_name2_87021001,0,"94,-72",100,8700003,,
87021002,2,1,1,1,,0,商店街,map_name_87021002,map_name2_87021002,0,"-176,-388",100,8700002,,
87021003,2,1,1,1,,0,圣殿-神谕司,map_name_87021003,map_name2_87021003,0,"-692,142",100,8700014,,
87021004,2,1,1,1,,0,湖畔公园,map_name_87021004,map_name2_87021004,0,"-153,256",100,8700013,,
87021005,2,1,1,1,,0,卢恩大道,map_name_87021005,map_name2_87021005,0,"-640,-162",100,8700005,,
87021006,2,2,1,2,10201,0,返回圣城,map_name_87021006,map_name2_87021006,0,"-704,310",100,8700043,,
87021007,2,2,1,1,,0,花园前庭,map_name_87021007,map_name2_87021007,0,"38,-272",100,8700010,,
87021008,2,2,1,1,,0,迷园,map_name_87021008,map_name2_87021008,0,"514,20",100,8700012,,
87021009,2,1,1,2,10214,0,艾露维尔宅邸,map_name_87021009,map_name2_87021009,0,"620,-28",100,8700007,,
87021010,2,1,1,1,,0,边缘区,map_name_87021010,map_name2_87021010,0,"434,-310",100,8700044,,
87031001,3,2,1,1,,0,圣殿-主殿,map_name_87031001,map_name2_87031001,0,"-492,18",100,8700001,,
87031002,3,2,1,1,,0,商店街,map_name_87031002,map_name2_87031002,0,"140,-350",100,8700002,,
87031004,3,2,1,1,,0,圣殿-神谕司,map_name_87031004,map_name2_87031004,0,"68,208",100,8700014,,
87031005,3,2,1,2,10301,0,艾露维尔宅邸,map_name_87031005,map_name2_87031005,0,"592,-140",100,8700007,,
87031006,3,1,1,1,,0,宴会厅,map_name_87031006,map_name2_87031006,0,"-488,-124",100,8700015,,
87031008,3,1,1,1,,0,花园前庭,map_name_87031008,map_name2_87031008,0,"140,-310",100,8700010,,
87031010,3,1,1,2,10302,0,返回圣城,map_name_87031010,map_name2_87031010,0,"-706,308",100,8700043,,
87031011,3,1,1,1,,0,主卧室,map_name_87031011,map_name2_87031011,0,"346,208",100,8700020,,
87031012,3,1,1,1,,0,迷园,map_name_87031012,map_name2_87031012,0,"600,-94",100,8700012,,
87041001,4,1,1,1,,0,居民区,map_name_87041001,map_name2_87041001,0,"266,-314",100,8700004,,
87041002,4,1,1,1,,0,卢恩大道,map_name_87041002,map_name2_87041002,0,"-380,-286",100,8700005,,
87041003,4,1,1,1,,0,圣殿-神谕司,map_name_87041003,map_name2_87041003,0,"-170,252",100,8700014,,
87041004,4,1,1,1,,0,圣殿-主殿,map_name_87041004,map_name2_87041004,0,"-668,36",100,8700001,,
87041005,4,1,1,2,10402,0,艾露维尔宅邸,map_name_87041005,map_name2_87041005,0,"558,-38",100,8700007,,
87041006,4,2,1,1,,0,花园前庭,map_name_87041006,map_name2_87041006,0,"466,-244",100,8700010,,
87041007,4,2,1,1,,0,主卧室,map_name_87041007,map_name2_87041007,0,"482,164",100,8700020,,
87041008,4,2,1,1,,0,宴会厅,map_name_87041008,map_name2_87041008,0,"-320,-310",100,8700015,,
87041010,4,2,1,2,10401,0,返回圣城,map_name_87041010,map_name2_87041010,0,"-706,309.1",100,8700043,,
87012001,1,1,1,1,,1,石河餐馆,map_name_87012001,map_name2_87012001,0,"-437.3,-144.5",100,8700026,,
87012002,1,1,1,1,,1,莱德街道,map_name_87012002,map_name2_87012002,0,"224.6,67.9",100,8700027,,
87012003,1,1,1,1,,1,希亚图书馆,map_name_87012003,map_name2_87012003,0,"319.2,-275.2",100,8700028,,
87012004,1,1,1,1,,1,居民区,map_name_87012004,map_name2_87012004,0,"787.6,-152.65",100,8700004,,
87022001,2,1,1,1,,1,莱德街道,map_name_87022001,map_name2_87022001,0,"486.7,-290",100,8700027,,
87022002,2,1,1,1,,1,东郊森林,map_name_87022002,map_name2_87022002,0,"906.7,-107.6",100,8700029,,
87022003,2,1,1,1,,1,城东大桥,map_name_87022003,map_name2_87022003,0,"437.5,73.7",100,8700030,,
87022004,2,1,1,1,,1,案发宅邸,map_name_87022004,map_name2_87022004,0,"18.3,249.2",100,8700003,,
87022005,2,1,1,1,,1,居民区,map_name_87022005,map_name2_87022005,0,"-311,52.8",100,8700004,,
87022006,2,1,1,2,50214,1,艾露维尔宅邸,map_name_87022006,map_name2_87022006,0,"-28.7,-176.1",100,8700007,,
87022007,2,2,1,1,,1,迷园,map_name_87022007,map_name2_87022007,0,"576.6,260.4",100,8700012,,
87022008,2,2,1,1,,1,花园中庭,map_name_87022008,map_name2_87022008,0,"19,125.5",100,8700011,,
87022009,2,2,1,1,,1,花园前庭,map_name_87022009,map_name2_87022009,0,"104.6,-136.7",100,8700010,,
87022010,2,2,1,2,50218,1,返回圣城,map_name_87022010,map_name2_87022010,0,"-622,-121",100,8700043,,
87022011,2,1,1,1,,1,贝儿家,map_name_87022011,map_name2_87022011,0,"-658.9,-172",100,8700031,,
87032001,3,1,1,1,,1,宅邸仓库,map_name_87032001,map_name2_87032001,0,"-216.7,-349.9",100,8700009,,
87032002,3,1,1,1,,1,宴会厅,map_name_87032002,map_name2_87032002,0,"72.6,48.4",100,8700015,,
87032003,3,1,1,1,,1,制图室,map_name_87032003,map_name2_87032003,0,"-518.8,-24.9",100,8700032,,
87032004,3,1,1,1,,1,主卧室,map_name_87032004,map_name2_87032004,0,"430.1,275.5",100,8700020,,
87032005,3,1,1,1,,1,宅邸正门,map_name_87032005,map_name2_87032005,0,"508.4,-296.4",100,8700008,,
87032006,3,1,1,2,50309,1,返回圣城,map_name_87032006,map_name2_87032006,0,"-706.8,308.5",100,8700043,,
87032007,3,2,1,1,,1,山路,map_name_87032007,map_name2_87032007,0,"143.3,-115.7",100,8700033,,
87032008,3,2,1,1,,1,村口,map_name_87032008,map_name2_87032008,0,"174.3,216.9",100,8700034,,
87032009,3,2,1,1,,1,医院,map_name_87032009,map_name2_87032009,0,"653.7,59.3",100,8700035,,
87032010,3,2,1,1,,1,村外森林,map_name_87032010,map_name2_87032010,0,"572.9,-277.3",100,8700036,,
87032011,3,2,1,2,50308,1,艾露维尔宅邸,map_name_87032011,map_name2_87032011,0,"-460.5,-262.3",100,8700007,,
87042001,4,1,1,1,,1,主卧室,map_name_87042001,map_name2_87042001,0,"430.5,275.2",100,8700020,,
87042002,4,1,1,1,,1,回廊,map_name_87042002,map_name2_87042002,0,"-248.2,64.3",100,8700019,,
87042003,4,1,1,1,,1,宅邸正门,map_name_87042003,map_name2_87042003,0,"508.7,-297.6",100,8700008,,
87042004,4,1,1,1,,1,花园中庭,map_name_87042004,map_name2_87042004,0,"252.3,-36.4",100,8700011,,
87042005,4,1,1,1,,1,宅邸仓库,map_name_87042005,map_name2_87042005,0,"-216.9,-349.1",100,8700009,,
87051001,5,1,1,1,,0,圣殿-神谕司,map_name_87051001,map_name2_87051001,0,"-334,-44",100,8700014,,
87051002,5,1,1,1,,0,圣殿-主殿,map_name_87051002,map_name2_87051002,0,"-1000,-6",100,8700001,,
87051003,5,1,1,1,,0,圣殿-训练场,map_name_87051003,map_name2_87051003,0,"-228,284",100,8700006,,
87051004,5,1,1,1,,0,虔诚广场,map_name_87051004,map_name2_87051004,0,"-616,-338",100,8700024,,
87051005,5,1,1,1,,0,商店街,map_name_87051005,map_name2_87051005,0,"40,-314",100,8700002,,
87051006,5,1,1,1,,0,边缘区,map_name_87051006,map_name2_87051006,0,"686,-320",100,8700044,,
87051007,5,1,1,1,,0,东郊森林,map_name_87051007,map_name2_87051007,0,"1300,-116",100,8700029,,
87051008,5,1,1,2,10506,0,艾露维尔宅邸,map_name_87051008,map_name2_87051008,0,"450,40",100,8700007,,
87051009,5,2,1,1,,0,宅邸仓库,map_name_87051009,map_name2_87051009,0,"-220,-36",100,8700009,,
87051010,5,2,1,2,10501,0,返回圣城,map_name_87051010,map_name2_87051010,0,"-706.8,308.5",100,8700043,,
87061001,6,1,1,1,,0,圣殿-神赦司,map_name_87061001,map_name2_87061001,0,"-915.8,215.3",100,8700038,,
87061002,6,1,1,1,,0,圣殿-神谕司,map_name_87061002,map_name2_87061002,0,"-47.8,-122.7",100,8700014,,
87061003,6,1,1,1,,0,圣殿-神意司,map_name_87061003,map_name2_87061003,0,"-911.1,-83.1",100,8700039,,
87061004,6,1,1,1,,0,卢恩大道,map_name_87061004,map_name2_87061004,0,"-383.4,-320.6",100,8700005,,
87061005,6,1,1,1,,0,鸢尾花大道,map_name_87061005,map_name2_87061005,0,"-413.6,445.1",100,8700040,,
87061006,6,1,1,1,,0,圣殿-主殿,map_name_87061006,map_name2_87061006,0,"-416.2,59.9",100,8700001,,
87061007,6,1,1,1,,0,塔桥,map_name_87061007,map_name2_87061007,0,"440.8,-280.4",100,8700041,,
87061008,6,1,1,1,,0,虔诚广场,map_name_87061008,map_name2_87061008,0,"-93.8,-557.6",100,8700024,,
87061009,6,1,1,1,,0,东郊山谷,map_name_87061009,map_name2_87061009,0,"1153.6,167.2",100,8700042,,
87052001,5,1,1,1,,1,圣殿-神谕司,map_name_87052001,map_name2_87052001,0,"-334,-44",100,8700014,,
87052002,5,1,1,1,,1,圣殿-主殿,map_name_87052002,map_name2_87052002,0,"500,-6",100,8700001,,
87052003,5,1,1,1,,1,圣殿-训练场,map_name_87052003,map_name2_87052003,0,"-228,284",100,8700006,,
87052004,5,1,1,1,,1,虔诚广场,map_name_87052004,map_name2_87052004,0,"-616,-338",100,8700024,,
87062001,6,1,1,1,,1,圣殿-神赦司,map_name_87062001,map_name2_87062001,0,"-684,84",100,8700038,,
87062002,6,1,1,1,,1,圣殿-神谕司,map_name_87062002,map_name2_87062002,0,"-176,-384",100,8700014,,
87062003,6,1,1,1,,1,圣殿-神意司,map_name_87062003,map_name2_87062003,0,"632,-30",100,8700039,,
87062004,6,1,1,1,,1,卢恩大道,map_name_87062004,map_name2_87062004,0,"472,-302",100,8700005,,
87071001,7,1,1,1,,0,圣殿-神谕司,map_name_87071001,map_name2_87071001,0,"-77,167",100,8700014,,
