RoleId,Desc1,AwakeningLv,ItemId,AttrRefixId,CardAdd,CardDelete,Desc2,CardDes,BreakLv
10001,卿英从,1,"5001,1",1000101,"606,1","106,1",牌库中，地6变为光6牌,CardDes_100011,1
10001,卿英从,2,"5001,1",1000102,"606,1","406,1",牌库中，火6变为光6牌,CardDes_100012,2
10001,卿英从,3,"5001,1",1000103,"60610,1","306,1",牌库中，水6变为光6-10牌,CardDes_100013,3
10001,卿英从,4,"5001,1",1000104,"606,1","206,1",牌库中，风6变为光6牌,CardDes_100014,4
10001,卿英从,5,"5001,1",1000105,"701,1",,牌库中，增加一张奥秘牌,CardDes_100015,5
10001,卿英从,6,"5001,1","1000106,1000107",,,本次战斗中第一次弃掉的牌从本局战斗中移除,CardDes_100016,
10002,希芙,1,"5002,1",1000201,"40037,1","401,1",牌库中，火1变火3-7,CardDes_100021,1
10002,希芙,2,"5002,1",1000202,"30037,1","301,1",牌库中，水1变水3-7,CardDes_100022,2
10002,希芙,3,"5002,1",1000203,"10037,1","101,1",牌库中，地1变地3-7,CardDes_100023,3
10002,希芙,4,"5002,1",1000204,"20037,1","201,1",牌库中，风1变风3-7,CardDes_100024,4
10002,希芙,5,"5002,1",1000205,"701,1",,牌库中，增加1奥秘,CardDes_100025,5
10002,希芙,6,"5002,1","1000206,1000207",,,你的其他任意牌型有50%几率视为列序,CardDes_100026,
10003,蒂法莉,1,"5003,1",1000301,,,0,CardDes_100031,1
10003,蒂法莉,2,"5003,1",1000302,,,0,CardDes_100032,2
10003,蒂法莉,3,"5003,1",1000303,,,0,CardDes_100033,3
10003,蒂法莉,4,"5003,1",1000304,,,0,CardDes_100034,4
10003,蒂法莉,5,"5003,1",1000305,,,0,CardDes_100035,5
10003,蒂法莉,6,"5003,1","1000306,1000307",,,0,CardDes_100036,
10004,比利,1,"5004,1",1000401,"102,1","402,1",牌库中，火2变地2,CardDes_100041,1
10004,比利,2,"5004,1",1000402,"104,1","404,1",牌库中，火4变地4,CardDes_100042,2
10004,比利,3,"5004,1",1000403,"106,1","406,1",牌库中，火6变地6,CardDes_100043,3
10004,比利,4,"5004,1",1000404,"108,1","408,1",牌库中，火8变地8,CardDes_100044,4
10004,比利,5,"5004,1",1000405,"110,1","410,1",牌库中，火10变地10,CardDes_100045,5
