Id,Tag,TagColor,Type,AttrRefixId,Level,GroupId,Weight,MaxOwnCount,CardWeightRefix,GroupWeightRefix,Name,NameGradient,Icon
1,AttrRefixedCard_tag_0,ae68ld,1,9301,5,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
2,AttrRefixedCard_tag_0,ae68ld,1,9302,5,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
3,AttrRefixedCard_tag_0,ae68ld,1,9303,5,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
4,AttrRefixedCard_tag_0,ae68ld,1,9304,5,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
5,AttrRefixedCard_tag_0,ae68ld,1,9305,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
6,AttrRefixedCard_tag_0,ae68ld,1,9306,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
7,AttrRefixedCard_tag_0,ae68ld,1,9307,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
8,AttrRefixedCard_tag_0,ae68ld,1,9308,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
9,AttrRefixedCard_tag_0,ae68ld,1,9309,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
10,AttrRefixedCard_tag_0,ae68ld,1,9310,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
11,AttrRefixedCard_tag_0,ae68ld,1,9311,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
12,AttrRefixedCard_tag_0,ae68ld,1,9312,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
13,AttrRefixedCard_tag_0,ae68ld,1,9313,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
14,AttrRefixedCard_tag_0,ae68ld,1,9314,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
15,AttrRefixedCard_tag_0,ae68ld,1,9315,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
16,AttrRefixedCard_tag_0,ae68ld,1,9316,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
17,AttrRefixedCard_tag_0,ae68ld,1,9317,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
18,AttrRefixedCard_tag_0,ae68ld,1,9318,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
19,AttrRefixedCard_tag_0,ae68ld,1,9319,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
20,AttrRefixedCard_tag_0,ae68ld,1,9320,3,1,100,999999,,,AttrRefixedCard_tag_0_1,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_General
501001,AttrRefixedCard_tag_1,930a0a,2,501001,1,10,100,1,,"10,2000;11,2000",skillname_501001,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_Burn
501002,AttrRefixedCard_tag_1,930a0a,2,501002,1,10,100,1,,"10,2000;11,2000",skillname_501002,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_Burn
501003,AttrRefixedCard_tag_1,930a0a,2,501003,1,10,100,1,,"10,2000;11,2000",skillname_501003,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_Burn
501004,AttrRefixedCard_tag_1,930a0a,2,501004,1,10,100,1,,"10,2000;11,2000",skillname_501004,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_Burn
501101,AttrRefixedCard_tag_1,930a0a,2,501101,1,11,100,1,,"10,1000;11,1000",skillname_501101,"FFFFFF,FFFFFF",RoguelikeTower/AttrRefixCard_Icon_Burn
