Id,Title,Sender,Text,itemId
101,mail_title_101,sender_system,mail_text_101,
102,mail_title_102,mail_Sender_102,mail_text_102,"1001001,20;9018,1;1002103,10;1006507,5;1002121,5;1002801,1;1000003,23333"
103,mail_title_103,mail_Sender_102,mail_text_103,"1001001,1"
104,mail_title_104,sender_system,mail_text_104,
105,mail_title_105,sender_system,mail_text_105,
106,mail_title_106,mail_Sender_102,mail_text_106,"1000002,90"
107,mail_title_106,sender_system,mail_text_107,"260101,1;260102,1;260103,1;260105,1;260107,1;260111,1;260112,1;260116,1;260201,1;260205,1;260206,1"
108,mail_title_108,sender_system,mail_text_108,
109,mail_title_109,sender_system,mail_text_109,
401,mail_title_401,mail_Sender_102,mail_text_401,
402,mail_title_402,mail_Sender_102,mail_text_402,
501,mail_title_501,sender_system,mail_text_501,"1000002,90;1001024,1"
502,mail_title_502,sender_system,mail_text_502,
503,mail_title_503,sender_system,mail_text_503,"1001001,2"
504,mail_title_504,sender_system,mail_text_504,
505,mail_title_505,sender_system,mail_text_505,"1000002,160"
601,mail_title_601,sender_system,mail_text_601,"1000004,60"
602,mail_title_602,sender_system,mail_text_602,
10205,mail_title_10205,mail_Sender_102,mail_text_10205,0
701,mail_title_701,sender_system,mail_text_701,0
702,mail_title_702,sender_system,mail_text_702,0
801,mail_title_801,sender_system,mail_text_801,0
802,mail_title_802,sender_system,mail_text_802,0
901,mail_title_901,sender_system,mail_text_901,0
2001,mail_title_2001,sender_system,mail_text_2001,0
1010000,mail_title_1010000,sender_system,mail_text_1010000,0
1010001,mail_title_1010001,sender_system,mail_text_1010001,0
1030000,mail_title_1030000,sender_system,mail_text_1030000,0
1030001,mail_title_1030001,sender_system,mail_text_1030001,0
1040000,mail_title_1040000,sender_system,mail_text_1040000,0
1040001,mail_title_1040001,sender_system,mail_text_1040001,0
1050000,mail_title_1050000,sender_system,mail_text_1050000,0
1050001,mail_title_1050001,sender_system,mail_text_1050001,0
1200000,mail_title_1200000,sender_system,mail_text_1200000,0
1200001,mail_title_1200001,sender_system,mail_text_1200001,0
110001,mail_title_110001,sender_system,mail_text_110001,"1000002,100;9035,1"
110002,mail_title_110002,sender_system,mail_text_110002,"1000002,10;1000003,1000"
110003,mail_title_110003,sender_system,mail_text_110003,"1000002,50;1000003,1000;1006506,3"
110004,mail_title_110004,sender_system,mail_text_110004,
100120,mail_title_100120,sender_system,mail_text_100120,
100122,mail_title_100122,sender_system,mail_text_100122,
100123,mail_title_100123,sender_system,mail_text_100123,
100132,mail_title_100132,sender_system,mail_text_100132,
1001321,mail_title_1001321,sender_system,mail_text_1001321,
999999,mail_title_999999,sender_system,mail_text_999999,
