Id,Beizhu,Name,Type,icon,InitValue,MinValue,MaxValue,PowerValue,PowerPercent,Show,Des
1,当前预动值,Attribute_Name_1,1,,0,-99999,0,0,0,0,Attribute_Des_1
2,当前生命,Attribute_Name_2,1,,0,0,0,0,0,0,Attribute_Des_2
3,当前护盾,Attribute_Name_3,1,,0,0,0,0,0,0,Attribute_Des_3
4,当前韧性,Attribute_Name_4,1,,0,0,0,0,0,0,Attribute_Des_4
5,当前怒气,Attribute_Name_5,1,,0,0,0,0,0,0,Attribute_Des_5
6,当前能量,Attribute_Name_6,1,,0,0,0,0,0,0,Attribute_Des_6
7,增益效果数量,Attribute_Name_7,1,,0,0,0,0,0,0,Attribute_Des_7
8,负面效果数量,Attribute_Name_8,1,,0,0,0,0,0,0,Attribute_Des_8
9,当前行动造成伤害,Attribute_Name_9,1,,0,0,0,0,0,0,Attribute_Des_9
10,当前溢出的治疗量,Attribute_Name_10,1,,0,0,0,0,0,0,Attribute_Des_10
11,当前受到伤害占当前血量的千分比,Attribute_Name_11,2,,0,0,0,0,0,0,Attribute_Des_11
12,本次战斗总受到伤害量,Attribute_Name_12,1,,0,0,0,0,0,0,Attribute_Des_12
13,本次战斗总受到治疗量,Attribute_Name_13,1,,0,0,0,0,0,0,Attribute_Des_13
14,本次战斗总造成伤害量,Attribute_Name_14,1,,0,0,0,0,0,0,Attribute_Des_14
15,星痕好感值,Attribute_Name_15,1,,0,0,0,0,0,0,Attribute_Des_15
16,当前生命千分比,Attribute_Name_16,2,,0,0,0,0,0,0,Attribute_Des_16
17,当前已经损失生命千分比,Attribute_Name_17,2,,0,0,0,0,0,0,Attribute_Des_17
18,当前护盾千分比,Attribute_Name_18,2,,0,0,0,0,0,0,Attribute_Des_18
19,当前韧性千分比,Attribute_Name_19,2,,0,0,0,0,0,0,Attribute_Des_19
20,当前韧性已损失千分比,Attribute_Name_20,2,,0,0,0,0,0,0,Attribute_Des_20
21,已损失生命值,Attribute_Name_21,1,,0,0,0,0,0,0,Attribute_Des_21
22,已损失韧性值,Attribute_Name_22,1,,0,0,0,0,0,0,Attribute_Des_22
23,当前行动消耗能量,Attribute_Name_23,1,,0,0,0,0,0,0,Attribute_Des_23
24,当前行动驱散BUFF数量,Attribute_Name_24,1,,0,0,0,0,0,0,Attribute_Des_24
25,当前行动驱散BUFF数量,Attribute_Name_25,1,,0,0,0,0,0,0,Attribute_Des_25
26,星痕好感度等级之和,Attribute_Name_26,1,,0,0,0,0,0,0,Attribute_Des_26
27,当前行动造成的常规伤害,Attribute_Name_27,1,,0,0,0,0,0,0,Attribute_Des_27
101,生命,Attribute_Name_101,1,ui_icon_yc_mn_att_101,0,0,0,1,0,1,Attribute_Des_101
102,攻击,Attribute_Name_102,1,ui_icon_yc_mn_att_102,0,0,0,8,0,1,Attribute_Des_102
103,防御,Attribute_Name_103,1,ui_icon_yc_mn_att_103,0,0,0,8,0,1,Attribute_Des_103
104,韧性值,Attribute_Name_104,1,ui_icon_yc_mn_att_104,0,0,0,2,0,2,Attribute_Des_104
105,速度,Attribute_Name_105,1,ui_icon_yc_mn_att_105,0,0,0,10,1,1,Attribute_Des_105
106,怒气,Attribute_Name_106,1,ui_icon_yc_mn_att_106,0,0,0,0,0,0,Attribute_Des_106
107,效果命中,Attribute_Name_107,2,ui_icon_yc_mn_att_107,0,-1000,0,0,2,2,Attribute_Des_107
108,效果抵抗,Attribute_Name_108,2,ui_icon_yc_mn_att_108,0,-500,0,0,2,2,Attribute_Des_108
109,弱破效果,Attribute_Name_109,2,ui_icon_yc_mn_att_109,0,-1000,0,0,2,2,Attribute_Des_109
110,弱破抵抗,Attribute_Name_110,2,ui_icon_yc_mn_att_110,0,-500,0,0,2,2,Attribute_Des_110
111,技能倍率加成,Attribute_Name_111,2,ui_icon_yc_mn_att_111,0,-1000,0,0,2,2,Attribute_Des_111
112,伤害加成,Attribute_Name_112,2,ui_icon_yc_mn_att_112,0,-1000,0,0,4,2,Attribute_Des_112
113,伤害减免,Attribute_Name_113,2,ui_icon_yc_mn_att_113,0,-10000,0,0,4,2,Attribute_Des_113
114,暴击概率,Attribute_Name_114,2,ui_icon_yc_mn_att_114,100,-1000,0,0,2,1,Attribute_Des_114
115,暴击抵抗率,Attribute_Name_115,2,ui_icon_yc_mn_att_115,0,-500,0,0,2,2,Attribute_Des_115
116,暴击伤害,Attribute_Name_116,2,ui_icon_yc_mn_att_116,1500,-1000,0,0,1,1,Attribute_Des_116
117,暴伤减免,Attribute_Name_117,2,ui_icon_yc_mn_att_117,0,-1000,0,0,1,2,Attribute_Des_117
118,防御穿透,Attribute_Name_118,2,ui_icon_yc_mn_att_118,0,-1000,0,0,4,2,Attribute_Des_118
119,穿透抵抗,Attribute_Name_119,2,ui_icon_yc_mn_att_119,0,-500,0,0,2,2,Attribute_Des_119
