StageId,PreStage,Show,Name,StageNumber,,StageOrder,Type,MainStage,BossTitle,FirstRawardMission,ThreeStarMission,ThreeStarReward,OpenCondition,WinCondition,WinConditionLevelRefix,LoseCondition,LoseConditionLevelRefix,ItemConsume,MaxRound,Power,TaskReward,ChapterId,ChapterMapId,StageTime,MonsterId,SuggestGospel,StageMonsterAttrBuff,MonsterAttrBuff,SelfStartSkill,AwardBuff,ItemId,Drop,InfiniteReward,Plot,EndPlot,Icon,Sound,SkillQuantity,SkillId,MonsterSkillId,AllowSkill,Quantity,Scene,SpecialCamera,Des,StageDes
99999991,,0,stage_name_99999991,0-1,序章1,,0,3,1,0,0,,0,0,,,,0,0,0,0,0,0,0,99999991,0,0,0,0,0,0,0,,5805100,5805101,0,8120063,0,0,,,,1979218,,steage_des_99999991,
99999992,99999991,0,stage_name_99999992,0-2,序章2,,0,3,1,0,0,,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,8120063,0,0,,,,1979218,,steage_des_99999992,
99999993,99999992,0,stage_name_99999993,0-3,序章3,,0,3,1,0,0,,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,8120063,0,0,,,,1979218,,steage_des_99999993,
10101,,1,stage_name_10101,1-1,新时代,1001,1,1,0,101010,"101011,101012,101013",101014,0,0,,,,"1000004,10",9900,"1,660",0,1,87011001,101,101011,"3013023,3016017,3016013",0,"0,101,-400;0,102,-500;0,103,-500;0,104,-500;0,105,-250;0,115,1000",0,0,0,"101012,50010101",,5801001,5801002,0,8120082,0,0,,,,1979205,,steage_des_10101,
10102,10101,1,stage_name_10102,1-2,世界尽头与亿万星痕,1002,1,3,0,101020,0,0,0,0,,,,0,0,0,0,1,87011001,101,0,0,0,,0,0,0,0,,5801003,0,0,,0,0,,,,,,steage_des_10102,
10103,10102,1,stage_name_10103,1-3,班底,1003,1,1,0,101030,"101031,101032,101033",101034,0,0,,,,"1000004,10",9900,"2,660",0,1,87011001,101,101031,"3014016,3014005,3015004,3013006,3014001",0,"0,101,-500;0,102,-500;0,103,-500;0,104,-800;0,105,-250;0,115,1000",0,0,0,"101012,50010103",,5801004,5801005,0,8120089,1,99999917,,,,1979217,,steage_des_10103,
10104,10103,1,stage_name_10104,1-4,朋友,1004,1,3,0,101040,0,0,0,0,,,,0,0,0,0,1,87011004,101,0,0,0,,0,0,0,0,,5801006,0,0,,0,0,,,,,,steage_des_10104,
10116,10104,1,stage_name_10116,1-5,讨伐-1,1005,1,1,0,101160,"101161,101162,101163",101164,0,0,,,,"1000004,10",9900,"2,1936",0,1,87011004,101,101161,"3016038,3013003,3016009,3014016,3014005,3015004,3013023,3016017,3016013",0,"0,101,-500;0,102,-500;0,103,-500;0,104,-500;0,105,-250",0,0,0,"101012,50010116",,,,0,8120098,0,0,,,,1979217,,steage_des_10116,
10117,10116,1,stage_name_10117,1-6,讨伐-2,1006,1,1,0,101170,"101171,101172,101173",101174,0,0,,,,"1000004,10",9900,"3,1936",0,1,87011004,101,101171,"3016038,3013003,3016009,3016031,3015002,3016013,3014016,3014005,3015004",0,"0,101,-480;0,102,-450;0,103,-450;0,104,-450;0,105,-240",0,0,0,"101012,50010117",,,,0,8120098,0,0,,,,1979217,,steage_des_10117,
10105,10117,1,stage_name_10105,1-7,窃食者,1007,1,3,0,101050,0,0,0,0,,,,0,0,0,0,1,87011002,101,0,0,0,,0,0,0,0,,5801007,0,0,,0,0,,,,,,steage_des_10105,
10118,10105,1,stage_name_10118,1-8,讨伐-3,1008,1,1,0,101180,"101181,101182,101183",101184,0,0,,,,"1000004,10",9900,"3,1936",0,1,87011002,102,101181,"3013009,3013004,3014025,3013018,3014027,3016031,3013023,3014019,3016013",0,"0,101,-470;0,102,-430;0,103,-430;0,104,-430;0,105,-230",0,0,0,"101012,50010118",,,,0,8120095,0,0,,,,1979217,,steage_des_10118,
