Id,Type,Repeat,TriggerNumber,value,RewardId,Item,Counts
900,1,0,1,"10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000",0,"3013001,3013003,3013004,3013006,3013007,3013008,3013009,3013014,3013015,3013017,3013018,3013019,3013020,3013022,3013023,3013025,3014001,3014003,3014004,3014005,3014012,3014016,3014018,3014019,3014020,3014021,3014022,3014023,3014024,3014025,3014026,3014027,3014029,3014030,3014031,3015002,3015004,3015006,3015007,3015008,3016009,3016011,3016013,3016023,3016017,3016031,3016038,3016068,3016078,3016130,3000002,3000003,3000004,3000005",1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
901,1,0,1,"10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000",0,"1000002,1000003,1001011,1001012,1006508,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006111,1006112,1006113,1006114,1006115,1006116,1006117,1006118,1006119,1006120,1006121,1001001,1006401,1006402,1006403,1006400,1006931,1006932,1006933,1006934,1006935,1006936,1006937,1006941,1006942,1006943,1006944,1006945,1006946,1006947,1006951,1006952,1006953,1006954,1006955,1006956,1006957,1006609",99999999;99999999;9999;9999;90000;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;99999
101,1,0,1,10000,0,3000001,1
401,1,0,1,10000,0,1000002,16
501,1,0,1,10000,0,1000002,16
10000,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013001,3013007,3013008,3013009,3013014,3013017,3013018,3013020,3013022,3013023,3013025,3014003,3014004,3014012,3014016,3014018,3016023,3016038",1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10001,2,0,1,"100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",0,"3013003,3013004,3013006,3013015,3014001,3014005,3014019,3014020,3014021,3014022,3014026,3014027,3016011,3016068,3013019",1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10002,2,0,1,"100,100,100,100,100,100,100,100,100,100,100",0,"3014023,3014024,3014025,3015002,3015004,3015006,3015007,3015008,3016009,3016031,3016130",1;1;1;1;1;1;1;1;1;1;1
10003,2,0,1,100,0,3014023,1
10004,2,0,1,"100,100,100",0,"3013003,3013019,3014026",1;1;1
