ID,,Group,MonsterId,MonsterLv,Position,AttrReFix,SkillFix,Desc
1,测试,10001,"3050013,3050001","1,1","0,1",0,0,
99999991,序章,99999991,3020011,180,1,0,0,序章
10101,新时代,101011,3050013,1,0,"3050013,601010,1",0,第一章
10103,班底,101031,"3050005,3050003","2,1","0,1","3050005,601011,1",0,第一章
10106,第二现场,101061,"3050001,3050013","7,7","0,1",,0,第一章
10107,纯白阴影,101071,"3050005,3050006","8,8","0,1",,0,第一章
10109,圈套,101091,"3050006,3050012,3050006","12,12,12","0,1,2",,0,第一章
10110,最终现场,101101,"3050013,3050007,3050005","16,16,16","0,1,2",,0,第一章
10112,病,101121,"30500021,3050012,30500021","18,18,18","0,1,2",,0,第一章
10113,传染,101131,"3050003,3050006,3050007","19,19,19","0,1,2",,0,第一章
10114,追查,101141,3030001,25,1,,0,第一章
10115,讨伐-1,101151,"3050013,30500141,3050005","6,6,6","0,1,2",,0,第一章
10116,讨伐-2,101161,"3050015,30500051,3050013","2,2,2","0,1,2",,0,第一章
10117,讨伐-3,101171,"3050015,3050006,3050005","2,2,2","0,1,2",,0,第一章
10118,讨伐-4,101181,"3050002,30500161,3050003","5,5,5","0,1,2",,0,第一章
10119,讨伐-5,101191,"3050003,3050006,3050007","9,9,9","0,1,2",,0,第一章
10120,讨伐-6,101201,"3050007,3050011","10,10","0,1",,0,第一章
10121,讨伐-7,101211,"3050003,3050015,3050003","14,14,14","0,1,2",,0,第一章
10122,讨伐-8,101221,,10,1,,0,第一章
10123,,101231,"3050005,3050007,3050015","18,18,18","0,1,2",,0,第一章
10124,,101241,"3050013,3050011,3050013","23,23,23","0,1,2",,0,第一章
10125,,101251,"3050001,30500011,3050005","25,25,25","0,1,2",,0,第一章
10126,,101261,"3050003,30500161,3050001","27,27,27","0,1,2",,0,第一章
10127,,101271,"3030001,3050003","35,35","0,1",,0,第一章
10201,小雨,102011,"30500051,30500011,30500042","35,35,35","0,1,2",0,0,第二章
10202,怠慢与谨慎,102021,3020001,35,1,0,0,第二章
10213,预报,102131,"30500042,30500051,30500111","38,38,38","0,1,2",0,0,第二章
10214,倾盆,102141,3020001,40,1,0,0,第二章
10216,讨伐-1,102161,"30500021,30500122,3050015","46,46,46","0,1,2",0,0,第二章
10217,讨伐-2,102171,"30500071,30500171,30500161","46,46,46","0,1,2",0,0,第二章
10218,讨伐-3,102181,"30500131,30500131,3050014","50,50,50","0,1,2",0,0,第二章
